First Name,Last Name,Handle,State,Body,District,Party
Alma,Adams,RepAdams,NC,House,12,D
Robert,Aderholt,Robert_Aderholt,AL,House,4,R
Pete,Aguilar,RepPeteAguilar,CA,House,31,D
Rick,Allen,RepRickAllen,GA,House,12,R
Colin,Allred,RepColinAllred,TX,House,32,D
Mark,Amodei,MarkAmodeiNV2,NV,House,2,R
Kelly,Armstrong,RepArmstrongND,ND,House,0,R
Jodey,Arrington,RepArrington,TX,House,19,R
Jake,Auchincloss,RepAuchincloss,MA,House,4,D
Cynthia,Axne,RepCindyAxne,IA,House,3,D
Brian,Babin,RepBrianBabin,TX,House,36,R
Don,Bacon,RepDonBacon,NE,House,2,R
James,Baird,RepJimBaird,IN,House,4,R
Troy,Balderson,RepBalderson,OH,House,12,R
Jim,Banks,RepJimBanks,IN,House,3,R
Andy,Barr,RepAndyBarr,KY,House,6,R
Nanette,Barragán,RepBarragan,CA,House,44,D
Karen,Bass,RepKarenBass,CA,House,37,D
Joyce,Beatty,RepBeatty,OH,House,3,D
Cliff,Bentz,RepBentz,OR,House,2,R
Ami,Bera,RepBera,CA,House,7,D
Jack,Bergman,RepJackBergman,MI,House,1,R
Donald,Beyer,RepDonBeyer,VA,House,8,D
Stephanie,Bice,RepBice,OK,House,5,R
Andy,Biggs,RepAndyBiggsAZ,AZ,House,5,R
Gus,Bilirakis,RepGusBilirakis,FL,House,12,R
Dan,Bishop,RepDanBishop,NC,House,9,R
Sanford,Bishop,SanfordBishop,GA,House,2,D
Earl,Blumenauer,repblumenauer,OR,House,3,D
Lisa,Blunt Rochester,RepLBR,DE,House,0,D
Lauren,Boebert,RepBoebert,CO,House,3,R
Suzanne,Bonamici,RepBonamici,OR,House,1,D
Mike,Bost,RepBost,IL,House,12,R
Carolyn,Bourdeaux,RepBourdeaux,GA,House,7,D
Jamaal,Bowman,RepBowman,NY,House,16,D
Brendan,Boyle,CongBoyle,PA,House,2,D
Kevin,Brady,RepKevinBrady,TX,House,8,R
Mo,Brooks,RepMoBrooks,AL,House,5,R
Anthony,Brown,RepAnthonyBrown,MD,House,4,D
Shontel,Brown,RepShontelBrown,OH,House,11,D
Julia,Brownley,RepBrownley,CA,House,26,D
Vern,Buchanan,VernBuchanan,FL,House,16,R
Ken,Buck,RepKenBuck,CO,House,4,R
Larry,Bucshon,RepLarryBucshon,IN,House,8,R
Ted,Budd,RepTedBudd,NC,House,13,R
Tim,Burchett,RepTimBurchett,TN,House,2,R
Michael,Burgess,michaelcburgess,TX,House,26,R
Cori,Bush,RepCori,MO,House,1,D
Cheri,Bustos,RepCheri,IL,House,17,D
G.,Butterfield,GKButterfield,NC,House,1,D
Ken,Calvert,KenCalvert,CA,House,42,R
Kat,Cammack,RepKatCammack,FL,House,3,R
Salud,Carbajal,RepCarbajal,CA,House,24,D
