Congressperson,State,Party Affiliation,House or Senate,District,Race,Gender,Birthdate,Background,Twitter Handle
Jerry Carl,AL,R,House,1,White,M,6/17/58,Political,RepJerryCarl
Barry Moore,AL,R,House,2,White,M,9/26/66,Political,RepBarryMoore
Mike Rogers,AL,R,House,3,White,M,7/16/58,Political,RepMikeRogersAL
Robert Aderholt,AL,R,House,4,White,M,7/22/65,Legal,Robert_Aderholt
Mo Brooks,AL,R,House,5,White,M,4/29/54,Political,RepMoBrooks
Gary Palmer,AL,R,House,6,White,M,5/14/54,Political,USRepGaryPalmer
Terri Sewell,AL,D,House,7,Black,F,1/1/65,Legal,RepTerriSewell
Don Young,AK,R,House,At-Large,White,M,6/9/33,Political,RepDonYoung
Tom O'Halleran,AZ,D,House,1,White,M,1/24/46,Political,repohalleran
Ann Kirkpatrick,AZ,D,House,2,White,F,3/24/50,Political,RepKirkpatrick
Raul Grijaiva,AZ,D,House,3,Hispanic,M,2/19/48,Political,RepraulGrijalva
Paul Gosar,AZ,R,House,4,White,M,11/27/58,Medical,RepGosar
Andy Biggs,AZ,R,House,5,White,M,11/7/58,Political,RepAndyBiggsAZ
David Schweikert,AZ,R,House,6,White,M,3/3/62,Political,RepDavid
Ruben Gallego,AZ,D,House,7,Hispanic,M,11/20/79,Political,RepRubenGallego
Debbie Lesko,AZ,R,House,8,White,F,11/14/58,Political,RepDLesko
Greg Stanton,AZ,D,House,9,White,M,3/8/70,Political,RepGregStanton
Rick Crawford,AR,R,House,1,White,M,1/22/66,"Media, Business",RepRickCrawford
French Hill,AR,R,House,2,White,M,12/5/56,Business,RepFrenchHill
Steve Womack,AR,R,House,3,White,M,2/18/57,Political,rep_stevewomack
Bruce Westerman,AR,R,House,4,White,M,11/18/67,Political,RepWesterman
Doug LaMalfa,CA,R,House,1,White,M,7/2/60,Political,RepLaMalfa
Jared Huffman,CA,D,House,2,White,M,2/18/64,Political,RepHuffman
John Garamendi,CA,D,House,3,Hispanic,M,1/24/45,Political,RepGaramendi
Tom McClintock,CA,R,House,4,White,M,7/10/56,Political,RepMcCLintock
Mike Thompson,CA,D,House,5,White,M,1/24/51,Political,RepThompson
Doris Matsui,CA,D,House,6,Asian,F,9/25/44,Political,DorisMatsui
Ami Bera,CA,D,House,7,Asian,M,3/2/65,Medical,RepBera
Jay Obernoite,CA,R,House,8,White,M,8/18/70,Political,JayObernolte
Jerry McNerney,CA,D,House,9,White,M,6/18/51,Engineering,RepMcNerney
Josh Harder,CA,D,House,10,White,M,8/1/86,"Business, Academic",RepJoshHarder
Mark DeSaulnier,CA,D,House,11,White,M,3/31/52,Political,RepDeSaulnier
Nancy Pelosi,CA,D,House,12,White,F,3/26/40,Political,SpeakerPelosi
Barbara Lee,CA,D,House,13,Black,F,7/16/46,Political,RepBarbaraLee
Jackie Speier,CA,D,House,14,White,F,5/14/50,Political,RepSpeier
Eric Swalwell,CA,D,House,15,White,M,11/16/80,Political,RepSwalwell
Jim Costa,CA,D,House,16,Hispanic,M,4/13/52,Political,RepJimCosta
Ro Khanna,CA,D,House,17,Asian,M,9/13/76,Legal,RepRoKhanna
Anna Eshoo,CA,D,House,18,White,F,12/13/42,Political,RepAnnaEshoo
Zoe Lofgren,CA,D,House,19,White,F,12/21/47,"Political, Legal",RepZoeLofgren
Jimmy Panetta,CA,D,House,20,White,M,10/1/69,Legal,RepJimmyPanetta
David Valadao,CA,R,House,21,Hispanic,M,4/14/77,"Political, Agricultural",RepDavidValadao
Devin Nunes,CA,R,House,22,Hispanic,M,10/1/73,Political,RepDevinNunes
Kevin McCarthy,CA,R,House,23,White,M,1/26/65,Political,GOPLeader
Salud Carbajal,CA,D,House,24,Hispanic,M,11/18/64,Political,RepCarbajal
Mike Garcia,CA,R,House,25,Hispanic,M,4/24/76,"Business, Military",repmikegarcia
Julia Brownley,CA,D,House,26,White,F,8/28/52,Political,RepBrownley
Judy Chu,CA,D,House,27,Asian,F,7/7/53,Political,RepJudyChu
Adam Schiff,CA,D,House,28,White,M,6/22/60,"Political, Legal",RepAdamSchiff
Tony Cárdenas,CA,D,House,29,Hispanic,M,3/31/63,Political,RepCardenas
Brad Sherman,CA,D,House,30,White,M,10/24/54,Political,BradSherman
Pete Aguilar,CA,D,House,31,Hispanic,M,6/19/79,Political,reppeteaguilar
Grace Napolitano,CA,D,House,32,Hispanic,F,12/4/36,Political,GraceNapolitano
Ted Lieu,CA,D,House,33,Asian,M,3/29/69,Political,RepTedLieu
Jimmy Gomez,CA,D,House,34,Hispanic,M,11/25/74,Political,RepJimmyGomez
Norma Torres,CA,D,House,35,Hispanic,F,4/4/65,Political,NormaJTorres
Raul Ruiz,CA,D,House,36,Hispanic,M,8/25/72,Medical,RepRaulRuizMD
Karen Bass,CA,D,House,37,Black,F,10/3/53,Political,RepKarenBass
Linda Sánchez,CA,D,House,38,White,F,1/28/69,Legal,RepLindaSanchez
Young Kim,CA,R,House,39,Asian,F,10/18/62,Political,RepYoungKim
Lucille Roybal-Allard,CA,D,House,40,Hispanic,F,6/12/41,Business,RepRoybalAllard
Mark Takano,CA,D,House,41,Asian,M,12/10/60,Education,RepMarkTakano
Ken Calvert,CA,R,House,42,White,M,6/8/53,Business,KenCalvert
Maxine Waters,CA,D,House,43,Black,F,8/15/38,Political,RepMaxineWaters
Nannette Barragán,CA,D,House,44,Hispanic,F,9/15/76,Political,RepBarragan
Katie Porter,CA,D,House,45,White,F,1/3/74,"Legal, Aademic",RepKatiePorter
Lou Correa,CA,D,House,46,Hispanic,M,1/24/58,Political,reploucorrea
Alan Lowenthal,CA,D,House,47,White,M,3/8/41,Political,RepLowenthal
Michelle Steel,CA,R,House,48,Asian,F,6/21/55,Political,RepSteel
Mike Levin,CA,D,House,49,Hispanic,M,10/20/78,Political,RepMikeLevin
Darrell Issa,CA,R,House,50,White,M,11/1/53,"Business, Political",DarrellIssa
Juan Vargas,CA,D,House,51,Hispanic,M,3/7/61,Political,RepJuanVargas
Scott Peters,CA,D,House,52,White,M,6/17/58,Political,RepScottPeters
Sara Jacobs,CA,D,House,53,White,F,2/1/89,Political,RepSaraJacobs
