,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
0,Jerry Carl,RepJerryCarl,2021-06-19T19:35:46.000Z,"156 years ago, the last slaves in America were finally freed. As we recognize #Juneteenth as a national holiday for the first time this year, we remember the past and celebrate the future. https://t.co/dTahUusWKU",",",",Juneteenth,",",",",https://t.co/dTahUusWKU,"
1,Barry Moore,RepBarryMoore,2021-06-20T15:30:40.000Z,"Nothing beats being a father. Incredibly blessed for my beautiful family and all the wonderful memories we share.

From my family to yours, Happy Father’s Day! https://t.co/R0BlAzs8Vo",",",",",",",",https://t.co/R0BlAzs8Vo,"
2,Barry Moore,RepBarryMoore,2021-06-20T14:52:02.000Z,Heartbreaking. Heather and I are praying for the families who lost loved ones and a full recovery for those injured in the crash. https://t.co/N8dNkxBc4j,",",",",",",",https://t.co/N8dNkxBc4j,"
3,Barry Moore,RepBarryMoore,2021-06-19T17:30:00.000Z,"Despite the WHO’s inability to hold the CCP accountable for its role in spreading COVID-19, Biden’s budget proposes giving the organization $124 million.

Unbelievable. The Biden administration continues to put Americans last.",",",",",",",","
4,Barry Moore,RepBarryMoore,2021-06-19T15:30:00.000Z,🚨 ICYMI: My latest The Moore You Know column is out! https://t.co/mHMQ4YRs4C,",",",",",",",https://t.co/mHMQ4YRs4C,"
5,Barry Moore,RepBarryMoore,2021-06-19T14:31:30.000Z,"Yesterday, I was honored to attend the groundbreaking ceremony for The Landing, a new subdivision that will include roads named after fallen soldiers from Enterprise. May our community honor these heroes, remember their sacrifice, and never forget the price of freedom.

🇺🇸🇺🇸🇺🇸 https://t.co/Hrd3NGQe3k",",",",",",",",https://t.co/Hrd3NGQe3k,"
6,Mike Rogers,RepMikeRogersAL,2021-06-20T21:10:36.000Z,"I am praying for the families of all the victims who were injured or killed in the tragic car wreck on I-65.
 
It is devastating to hear that multiple victims were children from Tallapoosa County Girls Ranch, which provides a home for neglected or abused school-age children.",",",",",",",","
7,Mike Rogers,RepMikeRogersAL,2021-06-20T11:55:54.000Z,"Being a father is the most important role I have and everyday I am so grateful to be one. 

Wishing all dads a happy Father's Day. https://t.co/Q8GO53Se13",",",",",",",",https://t.co/Q8GO53Se13,"
8,Mo Brooks,RepMoBrooks,2021-06-20T20:30:26.000Z,"Martha and I are devastated to hear about the deadly wreck on I-65. We are praying for all involved, and ask that you do the same. https://t.co/tvzbegOwH9",",",",",",",",https://t.co/tvzbegOwH9,"
9,Gary Palmer,USRepGaryPalmer,2021-06-20T19:44:01.000Z,Happy Father’s Day to all the wonderful dads out there! https://t.co/RXbACqCOkH,",",",",",",",https://t.co/RXbACqCOkH,"
10,Terri Sewell,RepTerriSewell,2021-06-20T18:38:40.000Z,Wishing a very special #FathersDay to all those in Alabama’s 7th Congressional District who have embraced the essential role of fatherhood! https://t.co/9V15xjyYc5,",",",FathersDay,",",",",https://t.co/9V15xjyYc5,"
11,Terri Sewell,RepTerriSewell,2021-06-19T18:39:59.000Z,"RT @WaysMeansCmte: NEWS: Yesterday, @RepTerriSewell, @RepJimmyGomez, and @RepHorsford—co-chairs of the W&amp;M Cmte's Racial Equity Initiative…",",WaysMeansCmte,",",",",",","
12,Terri Sewell,RepTerriSewell,2021-06-19T17:35:49.000Z,"Celebrating Black freedom and reflecting on the work still ahead of us. Progress is elusive, so we must fight and fight again until true justice is achieved. Happy #Juneteenth! https://t.co/6DEzSYvMoC",",",",Juneteenth,",",",",https://t.co/6DEzSYvMoC,"
13,Don Young,RepDonYoung,2021-06-20T22:21:30.000Z,"RT @repdonyoung: The longest day of the year is upon us! I hope you’ll get outside to enjoy some fresh Alaskan air. 

Happy #SummerSolstice…",",repdonyoung,",",",",",","
14,Don Young,RepDonYoung,2021-06-20T20:10:39.000Z,"The longest day of the year is upon us! I hope you’ll get outside to enjoy some fresh Alaskan air. 

Happy #SummerSolstice, Alaska! https://t.co/iZJZam8SCP",",",",SummerSolstice,",",",",https://t.co/iZJZam8SCP,"
15,Don Young,RepDonYoung,2021-06-20T15:26:35.000Z,"I'm the proud father of two amazing daughters, and fatherhood will always be one of the greatest joys of my life. Happy Father's Day to dads in Alaska and across the country! #FathersDay https://t.co/m9lWOxHJhn",",",",FathersDay,",",",",https://t.co/m9lWOxHJhn,"
16,Don Young,RepDonYoung,2021-06-20T14:35:38.000Z,"RT @repdonyoung: 🚨BREAKING🚨

Amid weeks of unsuccessful #infrastructure negotiations, today I'm proud to release my own blueprint. 

The Yo…",",repdonyoung,",",",",",","
17,Don Young,RepDonYoung,2021-06-19T22:05:32.000Z,"RT @repdonyoung: [THREAD] I proudly voted to support making #Juneteenth a federal holiday. This day is central to U.S. history, the day the…",",repdonyoung,",",",",",","
18,Tom O'Halleran,repohalleran,2021-06-20T21:15:00.000Z,Congratulations to @GRIC_official's Natalie Diaz on winning a Pulitzer Prize in Poetry!   https://t.co/E6jf8mkJQi,",",",",",GRIC_officials,",",https://t.co/E6jf8mkJQi,"
19,Tom O'Halleran,repohalleran,2021-06-19T21:15:00.000Z,"This #Juneteenth, we remember those who paid the ultimate price fighting for their freedom. Today, we continue to fight for every person’s right to life, liberty and the pursuit of happiness. That’s why I voted for legislation establishing Juneteenth as a Federal holiday. #AZ01",",",",Juneteenth,AZ01,",",",","
20,Tom O'Halleran,repohalleran,2021-06-19T18:55:20.000Z,"SHOW LOW: My staff and I are continuing to monitor this tragic incident as we learn more information. Right now, my thoughts and prayers are with those who have been injured and those in critical condition. #AZ01 https://t.co/FvMklRV0nx",",",",AZ01,",",",",https://t.co/FvMklRV0nx,"
21,Tom O'Halleran,repohalleran,2021-06-19T14:30:00.000Z,TODAY: I'm hosting a Virtual Service Academy Day with my colleagues in the Arizona delegation at 10:00 AM. #AZ01 students looking for info about admissions &amp; the Congressional nomination process for U.S. service academies can RSVP here: https://t.co/9w214xfjQw https://t.co/eNX6FwsJnW,",",",AZ01,",",",",https://t.co/9w214xfjQw,https://t.co/eNX6FwsJnW,"
22,Ann Kirkpatrick,RepKirkpatrick,2021-06-20T20:32:51.000Z,Wishing all the dads out there a happy #FathersDay!,",",",FathersDay,",",",","
23,Ann Kirkpatrick,RepKirkpatrick,2021-06-20T16:15:03.000Z,"It’s great to see that the Arizona legislature is partnering on a bipartisan effort to prevent and fight wildfires. Climate change will only make the threat of wildfires more serious in years to come, and Arizona needs to be ready.

https://t.co/6ynFLXEeRu",",",",",",",",https://t.co/6ynFLXEeRu,"
24,Ann Kirkpatrick,RepKirkpatrick,2021-06-19T20:15:03.000Z,@TheRialtoTucson graciously hosted my staff &amp; discussed how delivering #SVOG would help ensure businesses like Rialto can stay open &amp; survive the difficult economic challenges of the last year. I join my colleagues in urging SBA to deliver these overdue funds w/ urgency. https://t.co/hCaALDXtii,",",",SVOG,",",TheRialtoTucson,",",https://t.co/hCaALDXtii,"
25,Ann Kirkpatrick,RepKirkpatrick,2021-06-19T17:30:11.000Z,"This #Juneteenth, we remember those who paid the ultimate price fighting for their freedom. Today we continue to fight for every person’s right to life, liberty and the pursuit of happiness. That’s why I voted for legislation establishing Juneteenth as a Federal holiday",",",",Juneteenth,",",",","
26,Ann Kirkpatrick,RepKirkpatrick,2021-06-19T15:15:03.000Z,"TODAY: At 10AM our AZ Congressional Offices will be hosting a virtual Academy Day! 

Join us here: https://t.co/5PqlxIc1Ur",",",",",",",",https://t.co/5PqlxIc1Ur,"
27,Raul Grijaiva,RepraulGrijalva,2021-06-19T22:31:54.000Z,"Today we celebrate #Juneteenth to commemorate the end of slavery in the US when enslaved people in Texas were told about the Emancipation Proclamation signed 2 years earlier. 

We must continue to fight for every person’s right to life, liberty, and the pursuit of happiness. https://t.co/AnBFFsoQnY",",",",Juneteenth,",",",",https://t.co/AnBFFsoQnY,"
28,Paul Gosar,RepGosar,2021-06-20T14:44:35.000Z,Happy Father’s Day! https://t.co/UFG85QW8ca,",",",",",",",https://t.co/UFG85QW8ca,"
