,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links,Name
0,RepJerryCarl,2021-06-18T18:38:29.000Z,"RT @BMAlliance: Thank you, @RepJerryCarl for championing Alabama seniors’ access to high-quality, affordable #MedicareAdvantage coverage in…",",BMAlliance,",",",",",",",
1,RepJerryCarl,2021-06-18T15:45:03.000Z,"If you live in Mobile or Baldwin County, please stay weather aware this weekend. #al01 https://t.co/AcQ9JbBEHZ",",",",al01,",",",",https://t.co/AcQ9JbBEHZ,",
2,RepJerryCarl,2021-06-17T23:39:56.000Z,@Truth_Gazette @CarlForAlabama Thank you!,",",",",",Truth_Gazette,CarlForAlabama,",",",
3,RepJerryCarl,2021-06-17T21:38:03.000Z,"@JonathanAHester Thank you, Jonathan!",",",",",",JonathanAHester,",",",
4,RepJerryCarl,2021-06-17T21:37:45.000Z,@gopclassics Thank you!,",",",",",gopclassics,",",",
5,RepJerryCarl,2021-06-17T20:28:36.000Z,@ChairmanLathan @ALGOP Thank you! I appreciate your friendship!,",",",",",ChairmanLathan,ALGOP,",",",
6,RepJerryCarl,2021-06-17T20:19:25.000Z,"Thank you, Barry! Proud to serve with you. https://t.co/gc0dNySHt3",",",",",",",",https://t.co/gc0dNySHt3,",
7,RepJerryCarl,2021-06-17T18:58:11.000Z,"Thank you, Kat! It’s an honor to serve with you. https://t.co/KIPUJGcWSD",",",",",",",",https://t.co/KIPUJGcWSD,",
8,RepJerryCarl,2021-06-17T18:51:57.000Z,@NatResources Thank you!,",",",",",NatResources,",",",
9,RepJerryCarl,2021-06-17T16:11:32.000Z,"@RepBlakeMoore Congratulations, Blake!",",",",",",RepBlakeMoore,",",",
10,RepJerryCarl,2021-06-16T13:50:28.000Z,"Taxpayer money should NEVER be used to perform an abortion.

I'm proud to join over 130 of my colleagues on a letter reminding the @DeptVetAffairs that protecting life should be a top priority. https://t.co/r47wVQliT0",",",",",",DeptVetAffairs,",",https://t.co/r47wVQliT0,",
11,RepJerryCarl,2021-06-15T15:13:07.000Z,RT @RepMoBrooks: .@RepJerryCarl &amp; I were joined by 6 of our @HASCRepublicans colleagues in urging the Biden Admin to adequately fund Americ…,",RepMoBrooks,",",",",",",",
12,RepJerryCarl,2021-06-15T14:43:51.000Z,"The ATF is proposing guidance to strip #2A rights from millions of law-abiding citizens overnight. 

I joined 140 colleagues in urging the ATF to withdraw this proposal immediately. https://t.co/64X4CIHEHq",",",",2A,",",",",https://t.co/64X4CIHEHq,",
13,RepJerryCarl,2021-06-14T20:28:33.000Z,"RT @yhn: .@RepMoBrooks, @RepJerryCarl request increased funding for missile defense
By @jtimhowe https://t.co/2qFkzMDqC3",",yhn,",",",",",",",
14,RepJerryCarl,2021-06-14T18:44:23.000Z,RT @RepHarshbarger: I joined @RepJerryCarl in demanding that any Congressional investigation into the origins of COVID-19 include Dr. Fauci…,",RepHarshbarger,",",",",",",",
15,RepJerryCarl,2021-06-14T14:38:28.000Z,#FlagDay 🇺🇸 🇺🇸 🇺🇸 https://t.co/WmR4yEqGdB,",",",FlagDay,",",",",https://t.co/WmR4yEqGdB,",
16,RepBarryMoore,2021-06-18T17:30:09.000Z,"RT @GovernorKayIvey: Folks, pay close attention to the weather today &amp; this weekend as this storm system approaches. Our office will contin…",",GovernorKayIvey,",",",",",",",
17,RepBarryMoore,2021-06-18T17:30:00.000Z,"Human smugglers continue to take advantage of the Biden Border Crisis, putting young children in danger every day.

CBP has already conducted 7,084 rescue missions this year, compared to 5,255 for all of 2020.

SECURE THE BORDER.",",",",",",",",",
18,RepBarryMoore,2021-06-18T14:38:00.000Z,"Sickening.

For the record, @SpeakerPelosi, a 15-week-old unborn baby IS a human being. https://t.co/lhqCNE4Z9b",",",",",",SpeakerPelosi,",",https://t.co/lhqCNE4Z9b,",
19,RepBarryMoore,2021-06-18T14:21:08.000Z,RT @HouseGOP: Does she even know where it is? https://t.co/C0Rv0peUCa,",HouseGOP,",",",",",",",
20,RepBarryMoore,2021-06-17T20:17:55.000Z,"Happy birthday to my friend and colleague, @RepJerryCarl! It's an honor to fight for Alabamians with you in Washington. 🇺🇸",",",",",",RepJerryCarl,",",",
21,RepBarryMoore,2021-06-17T19:11:18.000Z,This exchange is incredibly disturbing. I'll bet our Border Czar Kamala Harris doesn't know the answers either. #BidenBorderCrisis https://t.co/CgVh197FKf,",",",BidenBorderCrisis,",",",",https://t.co/CgVh197FKf,",
22,RepBarryMoore,2021-06-17T18:09:39.000Z,"RT @RepLisaMcClain: Thank you to the Supreme Court for upholding religious liberty.

This case was not about discrimination, but ensuring t…",",RepLisaMcClain,",",",",",",",
23,RepBarryMoore,2021-06-17T17:58:01.000Z,We've gone from America First to Americans Last. https://t.co/2sIeak4PT9,",",",",",",",https://t.co/2sIeak4PT9,",
