,Unnamed: 0,Name,Twitter Handle,Time,Content,Retweeting,Hashtags,Tagged,Links
0,0,Jerry Carl,RepJerryCarl,2021-06-11T21:53:16.000Z,I’ll be live on Newsmax with Sean Spicer in just a few minutes! https://t.co/GmdKC6Vwc9,$,$,$,https://t.co/GmdKC6Vwc9
1,1,Jerry Carl,RepJerryCarl,2021-06-11T17:11:19.000Z,"Thank you @RepHarshbarger, @RepRickCrawford, @RepRonnyJackson, @RepGregSteube, and @CongressmanHice for joining me in this effort to ensure executive branch officials are held accountable for their actions.",$,$,"RepHarshbarger, RepRickCrawford, RepRonnyJackson, RepGregSteube, CongressmanHice",$
2,2,Jerry Carl,RepJerryCarl,2021-06-11T17:10:10.000Z,"🚨🚨 I just sent a letter to Speaker Pelosi urging her to open a bipartisan investigation to examine the contradictions between Dr. Fauci’s emails and his public statements. 

The American people deserve transparency. https://t.co/uyOQnL6qYO",$,$,$,https://t.co/uyOQnL6qYO
3,3,Jerry Carl,RepJerryCarl,2021-06-11T15:37:00.000Z,"Border crossings rose AGAIN last month. 

I’m not sure why VP Harris thinks the #BidenBorderCrisis is a laughing matter. Unlike her, I’ve actually visited the southern border, and it ain’t funny. https://t.co/UR0W4UHtUY",$,BidenBorderCrisis,$,https://t.co/UR0W4UHtUY
4,4,Jerry Carl,RepJerryCarl,2021-06-10T22:18:06.000Z,"Tina and I are heartbroken to hear @RepTerriSewell’s mother, Nancy Sewell, has passed away. Ms. Sewell was the first African American city councilor for Selma and was respected by all. Our prayers are with the entire Sewell family tonight. https://t.co/fm6XIO9FGL",$,$,RepTerriSewells,https://t.co/fm6XIO9FGL
5,5,Jerry Carl,RepJerryCarl,2021-06-10T17:47:01.000Z,"Americans are now paying significantly more for everything thanks to President Biden’s reckless, runaway spending.

We haven’t seen inflation this bad since right before the 2008 economic crisis. https://t.co/x3rcpkCuAR",$,$,$,https://t.co/x3rcpkCuAR
6,6,Jerry Carl,RepJerryCarl,2021-06-10T17:40:23.000Z,RT @FOX10News: Safe travels U.S.S Mobile! The ship heading to its homeport in California. https://t.co/68f3UI90fr,FOX10News,$,$,$
7,7,Jerry Carl,RepJerryCarl,2021-06-10T00:48:39.000Z,@repdonyoung Happy birthday AND happy anniversary to you and Anne!,$,$,repdonyoung,$
8,8,Jerry Carl,RepJerryCarl,2021-06-10T00:26:22.000Z,"Today the Keystone pipeline was officially cancelled. When I got gas this afternoon, I paid over $1 more per gallon than I did 6 months ago. 

What’s President Biden doing about it? Meeting with Putin to help keep his pipeline going. https://t.co/F15e5PRT14",$,$,$,https://t.co/F15e5PRT14
9,9,Jerry Carl,RepJerryCarl,2021-06-09T19:53:26.000Z,"It’s time to hold Dr. Fauci accountable.

His actions have impacted virtually every American, and we deserve answers. https://t.co/Ttsk5aHYAA",$,$,$,https://t.co/Ttsk5aHYAA
10,10,Jerry Carl,RepJerryCarl,2021-06-08T18:28:25.000Z,"Did you know this week is #NationalFishingAndBoatingWeek?

Recreational fishing is a HUGE part of our local economy, so I hope you can find some time this week to reel a few in! 🎣 https://t.co/SsmahCgNIE",$,NationalFishingAndBoatingWeek,$,https://t.co/SsmahCgNIE
11,11,Jerry Carl,RepJerryCarl,2021-06-08T15:51:03.000Z,Which part of the #BidenBorderCrisis is so funny to the VP - the massive increase in human trafficking across the border or the drugs pouring into our communities? https://t.co/IH5KWQ8LPZ,$,BidenBorderCrisis,$,https://t.co/IH5KWQ8LPZ
12,12,Jerry Carl,RepJerryCarl,2021-06-08T13:49:11.000Z,Tune in at 9:30 this morning! #al01 https://t.co/oFmaGLZn02,$,al01,$,https://t.co/oFmaGLZn02
13,13,Jerry Carl,RepJerryCarl,2021-06-07T18:27:32.000Z,"These words mean nothing when your actions are the total opposite. 

Unlike you, I’ve been to the border and have watched illegal immigrants walk straight across because of the administration’s failure to enforce our laws and secure our border. https://t.co/bzUKpxo6Sb",$,$,$,https://t.co/bzUKpxo6Sb
14,14,Jerry Carl,RepJerryCarl,2021-06-07T02:25:53.000Z,This is tragic news. Please join me in praying for Baldwin County tonight. https://t.co/bkTgWCRtDX,$,$,$,https://t.co/bkTgWCRtDX
15,15,Jerry Carl,RepJerryCarl,2021-06-06T14:10:08.000Z,"77 years ago today, thousands of brave men landed on the beaches of Normandy. This invasion was a major turning point in WWII and eventually led to an Allied victory in Europe. 

We we will never forget the 4,000 Allied soldiers who gave the ultimate sacrifice for freedom. #DDay https://t.co/EEpK9mDOvn",$,DDay,$,https://t.co/EEpK9mDOvn
16,16,Barry Moore,RepBarryMoore,2021-06-11T19:06:31.000Z,"RT @MarkMeadows: Our southern border is in crisis, totally overrun at levels not seen in decades, and the person Joe Biden put in charge to…",MarkMeadows,$,$,$
17,17,Barry Moore,RepBarryMoore,2021-06-11T19:04:08.000Z,RT @SenTuberville: Simply keeping pace with China is NOT enough. https://t.co/7WqxSrU8tL,SenTuberville,$,$,$
18,18,Barry Moore,RepBarryMoore,2021-06-11T17:15:22.000Z,RT @HouseGOP: https://t.co/kGOMsSIWqA,HouseGOP,$,$,$
19,19,Barry Moore,RepBarryMoore,2021-06-11T16:33:00.000Z,"For 4 years, the media pushed lie after lie about Trump.

This week, another headline was proven FALSE.

- Wuhan Lab COVID leak theory
- Russian bounty on U.S. soldiers
- Benefits of Hydroxychloroquine
- Clearing Lafayette Square for a photo op

The truth ALWAYS prevails.",$,$,$,$
20,20,Barry Moore,RepBarryMoore,2021-06-11T15:25:52.000Z,The message is clear: Americans LAST. https://t.co/jUQ3qGa9by,$,$,$,https://t.co/jUQ3qGa9by
21,21,Barry Moore,RepBarryMoore,2021-06-11T15:17:19.000Z,"RT @RepMikeJohnson: 🚨180,034 southern border encounters in May
 
And even though VP Harris tries to laugh it off, the #BidenBorderCrisis is…",RepMikeJohnson,$,$,$
22,22,Barry Moore,RepBarryMoore,2021-06-10T20:45:13.000Z,"RT @GOPLeader: President Biden's tax-and-spend agenda has spiked consumer costs across the board, resulting in Jimmy-Carter-levels of infla…",GOPLeader,$,$,$
23,23,Barry Moore,RepBarryMoore,2021-06-10T19:40:28.000Z,"Last month, consumer prices accelerated at their fastest pace in nearly 13 years.

Bidenomics continues to fail the American people.",$,$,$,$
24,24,Barry Moore,RepBarryMoore,2021-06-10T18:39:56.000Z,"Last week, I visited the Butterfly Bridge Children’s Advocacy Center in Wetumpka, where we discussed the support, healing, and resources they provide to children victimized by abuse. I’m thankful for the incredible work they do to assist Alabamians in need. https://t.co/2UlnLK8MUR",$,$,$,https://t.co/2UlnLK8MUR
25,25,Barry Moore,RepBarryMoore,2021-06-10T16:10:45.000Z,"RT @RepHartzler: 180,034 illegal border crossings in May — the third straight month to hit a new high in the past two decades.

America has…",RepHartzler,$,$,$
26,26,Barry Moore,RepBarryMoore,2021-06-10T14:41:49.000Z,"🚨 The truth ALWAYS comes out. 🚨

Yet another lie recklessly pushed by the media is proven false.

Will the fake news media ever be held accountable? https://t.co/fvvmp8HSWd",$,$,$,https://t.co/fvvmp8HSWd
27,27,Barry Moore,RepBarryMoore,2021-06-10T14:18:47.000Z,Don't let the Biden administration fool you - the #BidenBorderCrisis is only getting worse. https://t.co/7Z9dpwHOIC,$,BidenBorderCrisis,$,https://t.co/7Z9dpwHOIC
28,28,Barry Moore,RepBarryMoore,2021-06-09T20:33:25.000Z,"May is the third straight month of more than 170,000 apprehensions at our southern border.

This hasn't happened in 21 years.

Still think this is a joke, @VP?",$,$,VP,$
29,29,Barry Moore,RepBarryMoore,2021-06-09T17:42:57.000Z,"Apparently, some folks are triggered by one of the greatest symbols of valor, freedom, and sacrifice.

What a shame. I guess it’s hard to be patriotic with so much hate in their hearts for our country.

I’m proud of our flag and the strong American values it represents. 🇺🇸 https://t.co/MdOpkxJ3x6",$,$,$,https://t.co/MdOpkxJ3x6
30,30,Barry Moore,RepBarryMoore,2021-06-08T20:36:44.000Z,"Comparing the U.S. to terrorist organizations is outrageously disrespectful to our American troops that have heroically fought for our freedoms.

This hateful and un-American rhetoric has no place in Congress. https://t.co/fsxvzMR6ko",$,$,$,https://t.co/fsxvzMR6ko
