name:ID,:LABEL
.,Person
. Fauci,Person
Aaron Bean,Person
Abbott,Person
Abdel Fattah El-Sisi,Person
Abigail Adams,Person
Abraham Lincoln,Person
Achilles,Person
Alejandro Mayorkas,Person
Alex Jones,Person
Alex Maskey,Person
Alex Moss,Person
Alexander,Person
Alexander Lofgren,Person
Alvin Keels,Person
Alysia Johnston,Person
Amado Ante,Person
Amer,Person
Ameri,Person
Ami Bera,Person
Andy Biggs,Person
Anna Paulina Luna,Person
Annie Dog,Person
Antione Waller,Person
Artie Pfefer,Person
Audree Hall,Person
Austin,Person
Austin Davis,Person
Ayanna Pressley,Person
BIDEN,Person
Becky,Person
Ben Carson,Person
Bernard Strickland,Person
Bessie Hendricks,Person
Bethune-Cookman,Person
Beto O’Rourke,Person
Betty,Person
Betty Oglesby,Person
Biden,Person
BidenBorderCrisis,Person
BidenEnergyFailures,Person
BidenFlation,Person
Bidenflation,Person
Bill,Person
Bill Berry,Person
Bill Dunkelberg,Person
Bill Harris,Person
Blackburn,Person
Blumenthal,Person
Bob Casey,Person
Bobby Inman,Person
Bogaerts,Person
Brad Ashford,Person
Brent Jones,Person
Brian,Person
Brian Higgins,Person
Brian Kemp,Person
Brittney,Person
Brittney Griner,Person
BrittneyGriner,Person
Bruce Crandall,Person
Butch Wagner,Person
Byron Donalds,Person
CRISIS,Person
Cal Cu,Person
Carl Watson Jr,Person
Carter,Person
Casey Casanova,Person
Catherine,Person
Catherine Engelbrecht,Person
Charlie Sellars,Person
Cheri Bustos,Person
Chloe,Person
Chris,Person
Chris Amacker,Person
Chris Magnus,Person
Chris Murphy,Person
Chris Van Etten,Person
Christ,Person
CivicsWithScott,Person
Clarence Thomas,Person
Clark,Person
Cleland,Person
Col,Person
Collins,Person
Colonel William “Bill” Austin,Person
Cortez Masto,Person
Cory Booker,Person
Coxwain Jody Murphy,Person
Creighton,Person
Cruz,Person
Cullman,Person
DJ Reyes,Person
DOJ,Person
Dan Shipp,Person
Daniel Burks,Person
Daniel K. Akaka,Person
Daniel Webster,Person
Danny Pellegrini,Person
Danny Werfel,Person
Dave Jensen,Person
David,Person
David Black,Person
David Givens,Person
