id:ID,Content,Time,:LABEL
0,RT @HBCUCaucus: The HBCU Caucus Partnership Challenge is an effort to promote greater engagement and support between private companies and…,2022-11-10 17:37:18+00:00,Tweet
1,"The @HBCUCaucus Partnership Challenge is an effort to promote greater engagement and support between private companies and #HBCUs.

Meet our 3 newest partners: @abbvie, @Amgen, and @ProtectiveLife!

https://t.co/7p2pvMh5Gd",2022-11-10 17:36:46+00:00,Tweet
2,"This week, as our country observes #VeteransDay, our office is honoring women Veterans from our district on social media.

After 9/11, Pamela Helms enlisted in the US Army in 2002 at 17 years old and served until 2005.

Thank you to Pamela and to all Veterans for your service. https://t.co/bVSrC9XAJP",2022-11-10 16:12:04+00:00,Tweet
3,Today is the 247th birthday of the @USMC. To the generations of brave Marines who served - and continue to serve - the United States: thank you for the sacrifices you make to protect our national security and your loyalty. https://t.co/AvUmQjnFLo,2022-11-10 14:52:18+00:00,Tweet
4,"If you’re in line to vote by 7:30 PM in North Carolina, you can vote no matter how long it takes. 🗳",2022-11-08 22:15:14+00:00,Tweet
5,"You have 2 1/2 hours left to vote, North Carolina!",2022-11-08 21:54:17+00:00,Tweet
6,Have you voted yet?,2022-11-08 19:36:12+00:00,Tweet
7,"Charlotte, please go vote today! 

You can check your registration status, sample ballot, and polling place here: https://t.co/VMwyZgj8Rw",2022-11-08 16:37:36+00:00,Tweet
8,"Are you a first time voter this #Election2022?

Do you have questions about voting? 🗳️

Check out this gov site to get answers: https://t.co/onwgZn58fu",2022-11-08 16:33:58+00:00,Tweet
9,RT @RepNikema: It’s #Election2022 &amp; every American citizen 18 and older has the right to vote. Have you voted yet? Make your voices heard a…,2022-11-08 14:25:21+00:00,Tweet
10,"RT @CATSRideTransit: FREE FARE ON ELECTION DAY: All bus route, LYNX Blue Line, CityLYNX Gold Line and paratransit services will be fare fre…",2022-11-08 05:00:48+00:00,Tweet
11,You have the power to shape your future and make your voice heard. Learn more about voting here: https://t.co/k1lYkv8EJ4,2022-11-07 19:04:52+00:00,Tweet
12,RT @SMHSSabres: Vote!!! https://t.co/mZlCqmRhnX,2022-11-07 16:10:24+00:00,Tweet
13,"Happy Veterans Day to all who have served and those still serving in the Army, Navy, Marines, Air Force, Coast Guard and Space Force. https://t.co/tGp1TgABRX",2022-11-11 20:40:58+00:00,Tweet
14,"Join me in wishing a Happy Birthday to the Marine Corps. So many have served so proudly, including Cullman’s very own Roy Drinkard, one of the oldest living marines in the United States. https://t.co/xCTpQy6Hyt",2022-11-10 16:29:11+00:00,Tweet
15,"I'm very sorry to hear this news.  Jeff's musical talents have left a lasting impression on American music and Alabama's rich musical history.  My prayers to his bandmates, family and friends.
https://t.co/fiNK1QjlEq via @tennessean",2022-11-08 21:41:57+00:00,Tweet
16,Americans benefit from common-sense conservative ideas that strengthen the nation. https://t.co/0Z8ZdeHY61,2022-11-07 19:59:27+00:00,Tweet
17,"On #VeteransDay, we recommit ourselves to honoring our veterans and their families by taking action. This year I helped pass bills that: 
- Reduce veteran suicide 
- Honor our pact with toxic-exposed veterans 
- Ensure every day in uniform counts toward GI Bill benefits",2022-11-11 16:48:45+00:00,Tweet
18,"Happy #VeteransDay to all the outstanding men and women who have answered the call to serve our country, and to all who are serving now.

Today and every day, we thank you for your bravery. https://t.co/X9OITti7B1",2022-11-11 17:01:12+00:00,Tweet
19,"Great to see such a major investment in the 12th District as businesses continue to flock to the Peach State!

I am glad to welcome the arrival of this new facility which will bring more than 600 jobs to the Statesboro area. https://t.co/OrpPP1nMEc",2022-11-07 23:42:25+00:00,Tweet
20,"Happy birthday to my wonderful husband, Rick. You are loved by many, especially me! ❤️🇺🇸🎂🎊

-Robin https://t.co/QY7XqoE422",2022-11-07 21:30:16+00:00,Tweet
