name:ID(American Football Game-ca),:LABEL
Alabama at LSU,American Football Game
Appalachian State at Marshall,American Football Game
Bills at Jets,American Football Game
Florida State at Miami (FL),American Football Game
Indiana at Ohio State,American Football Game
LSU at Arkansas,American Football Game
Louisiana Tech at UTSA,American Football Game
Michigan at Rutgers,American Football Game
Nebraska at Michigan,American Football Game
Oklahoma at West Virginia,American Football Game
Tennessee at Georgia,American Football Game
Tulane at Tulsa,American Football Game
Vikings at Commanders,American Football Game
