name:ID(Organization),:LABEL
 #FinTe,Organization
 Affairs,Organization
 in Cong,Organization
10,Organization
1u,Organization
AAA,Organization
AAC,Organization
AAPI,Organization
ACA,Organization
AI,Organization
AIM,Organization
API,Organization
ARPA,Organization
ATF,Organization
AZSen,Organization
Affairs,Organization
Air,Organization
Air Force,Organization
Albany Dems,Organization
Alfred Lima School,Organization
American Association of Engineers,Organization
American Energy,Organization
American Federation of,Organization
American Rescue Plan,Organization
Apple,Organization
Archbishop Walsh High School,Organization
Arlington National C,Organization
Army,Organization
Army Airborne School,Organization
Army Corps,Organization
Army Corps of Engineers,Organization
Astros,Organization
Astros World Series,Organization
Austin,Organization
BETA,Organization
BLM,Organization
BNAFairnessAct,Organization
BSU,Organization
Bengals,Organization
Berlin,Organization
Beta Technologies,Organization
Bezos,Organization
Biden,Organization
Biden Administration,Organization
Big,Organization
Big Pharma,Organization
Big Sandy High School,Organization
Big Tech,Organization
BillsMafia,Organization
Black Civil War Veterans,Organization
Blaine High School,Organization
Bloomberg,Organization
Border Patrol,Organization
Bowling Green,Organization
Brea,Organization
Bridgeport Elementary School,Organization
Broncos,Organization
Brown University,Organization
Bucks,Organization
Buffalo VA Medical Center,Organization
Bureau of Land Management,Organization
CA49,Organization
CA51,Organization
CBP,Organization
CCM,Organization
CCP,Organization
CD5,Organization
CDC,Organization
CGOY,Organization
CHCProud,Organization
CHOP,Organization
CIA,Organization
CNN,Organization
CPI,Organization
CTC,Organization
CWRU,Organization
CYAC,Organization
Cal State San Marcos,Organization
Cartels,Organization
Central American Network for Democracy Act,Organization
Central PA Chamber of Commerce,Organization
Central Powers,Organization
Chamber of Commerce,Organization
Chevron,Organization
Chick-fil-,Organization
Christian Life School,Organization
Citizens United,Organization
City Council,Organization
CityOfChamps,Organization
Coast Guard,Organization
Color Guard,Organization
Coloradans,Organization
Commission,Organization
Commonwealth Election Commission,Organization
Communist Party,Organization
Concejal,Organization
Congreso,Organization
Congreso 118,Organization
Congress,Organization
Congressional,Organization
