name:ID(Sports League-ca),:LABEL
2022 FIFA World Cup,Sports League
American Athletic,Sports League
BIG-TEN-EAST,Sports League
Big 10 football,Sports League
Big Ten,Sports League
Conference USA,Sports League
England - Soccer,Sports League
"FIFA Men's World Cup""",Sports League
I-A,Sports League
MLB,Sports League
MLS,Sports League
NBA,Sports League
NCAA Division I,Sports League
NCAA Football,Sports League
"NCAA Men's Basketball""",Sports League
NFL,Sports League
Premier League,Sports League
SEC-EAST,Sports League
SEC-WEST,Sports League
Southwestern Athletic,Sports League
Sun Belt,Sports League
USA - Soccer,Sports League
