name:ID(Colleges & Universities-ca),:LABEL
Bethune-Cookman University,Colleges & Universities
Brown University,Colleges & Universities
Clemson University,Colleges & Universities
Jackson State University,Colleges & Universities
Louisiana State University,Colleges & Universities
Michigan State University,Colleges & Universities
Ohio State University,Colleges & Universities
University of Georgia,Colleges & Universities
University of Iowa,Colleges & Universities
University of Michigan,Colleges & Universities
University of Oklahoma,Colleges & Universities
University of Utah,Colleges & Universities
West Virginia University,Colleges & Universities
