name:ID(Brand-ca),:LABEL
ABC News,Brand
ACLU,Brand
Albertsons,Brand
Allstate,Brand
American Diabetes Association,Brand
Amgen,Brand
Aposto!,Brand
Apple,Brand
Avon,Brand
BMO (Bank of Montreal),Brand
BP,Brand
Binance,Brand
Bloomberg,Brand
Budweiser,Brand
Bytedance,Brand
CBS,Brand
CBS News,Brand
CNBC,Brand
CNN,Brand
Chevrolet,Brand
Chevron,Brand
Chick-fil-A,Brand
Coca-Cola,Brand
Concerned Veterans for America,Brand
Countdown,Brand
Credit Cards,Brand
Dow Jones,Brand
ESPN,Brand
Eli Lilly and Company,Brand
Energy.gov,Brand
Exxon,Brand
ExxonMobil,Brand
FOX & friends,Brand
FOX Business,Brand
FTX,Brand
Farmers Insurance,Brand
Fox News,Brand
Goldman Sachs,Brand
Goodyear,Brand
Google ,Brand
HP,Brand
Harley Davidson,Brand
Harvard University,Brand
Hasbro,Brand
Hulu,Brand
Hyundai,Brand
Kroger,Brand
MLB,Brand
MSNBC,Brand
Massachusetts Bay Transportation Authority,Brand
McNeil-PPC,Brand
Mobil,Brand
Morgan Stanley,Brand
NASA,Brand
NBA,Brand
NBC News,Brand
NFL,Brand
NOAA,Brand
National Guard,Brand
Netflix,Brand
New York Post,Brand
ONCE,Brand
Pfizer,Brand
Planned Parenthood,Brand
REI,Brand
Reuters,Brand
SAS,Brand
Shell,Brand
Slate,Brand
Southwest Airlines,Brand
Steam,Brand
Sunrise Senior Living,Brand
Sure,Brand
Target,Brand
Tesla Motors,Brand
The American Legion,Brand
The Associated Press,Brand
The Daily Beast,Brand
The Guardian,Brand
The Hill,Brand
The New York Times,Brand
The New Yorker,Brand
The Wall Street Journal,Brand
The Washington Post,Brand
TikTok,Brand
Tim Hortons,Brand
Truth Social,Brand
Twitter,Brand
U.S. Marine Corps,Brand
USA Today,Brand
USAID,Brand
United Nations,Brand
United States Postal Service,Brand
Us Against Alzheimer's,Brand
Valero,Brand
Veterans of Foreign Wars,Brand
Walgreens,Brand
Wells Fargo,Brand
Women in tech,Brand
World Food Programme,Brand
YMCA,Brand
