name:ID(Sports Team-ca),:LABEL
Atlanta Hawks,Sports Team
Buffalo Bills,Sports Team
Cincinnati Bengals,Sports Team
Georgia Bulldogs,Sports Team
Houston Astros,Sports Team
India,Sports Team
Iowa Hawkeyes,Sports Team
LSU Tigers,Sports Team
Liverpool FC,Sports Team
Los Angeles FC,Sports Team
Marshall Thundering Herd,Sports Team
Memphis Grizzlies,Sports Team
Michigan State Spartans,Sports Team
Michigan Wolverines,Sports Team
Milwaukee Bucks,Sports Team
Minnesota Vikings,Sports Team
Ohio State Buckeyes,Sports Team
Philadelphia Phillies,Sports Team
Philadelphia Union,Sports Team
Pittsburgh Steelers,Sports Team
Portland Trail Blazers,Sports Team
Rutgers Scarlet Knights,Sports Team
San Antonio Spurs,Sports Team
San Diego State Aztecs,Sports Team
Tulane Green Wave,Sports Team
USA,Sports Team
UTSA Roadrunners,Sports Team
Washington Commanders,Sports Team
West Virginia Mountaineers,Sports Team
