name:ID(Business Taxonomy-ca),:LABEL
Automotive,Business Taxonomy
Beauty,Business Taxonomy
Education Business,Business Taxonomy
Energy,Business Taxonomy
Entertainment & Leisure Business,Business Taxonomy
Financial Services Business,Business Taxonomy
Food & Beverage Business,Business Taxonomy
Gaming Business,Business Taxonomy
Household Business,Business Taxonomy
Medical & Health Business,Business Taxonomy
Pet Business,Business Taxonomy
Publisher & News Business,Business Taxonomy
Real Estate Business,Business Taxonomy
Retail Business,Business Taxonomy
Sports & Fitness Business,Business Taxonomy
Technology Business,Business Taxonomy
Travel & Transportation Business,Business Taxonomy
