name:ID(Person-ca),:LABEL
Aaron Rupar,Person
Abdel Fattah el-Sisi,Person
Abigail Spanberger,Person
Abraham Lincoln,Person
Adam Kinzinger,Person
Adam Laxalt,Person
Adam Parkhomenko,Person
Adam Schiff,Person
Adam Smith,Person
Adrian Smith,Person
Adriano Espaillat,Person
Al Green,Person
Al Lawson,Person
Albio Sires,Person
Alejandro Mayorkas,Person
Alex Jones,Person
Alex Mooney,Person
Alexandria Ocasio-Cortez,Person
Alma Adams,Person
Amata Radewagen,Person
Ami Bera,Person
Amy Coney Barrett,Person
Amy Klobuchar,Person
Andrew Clyde,Person
Andrew Garbarino,Person
Andrew Kim,Person
André Carson,Person
Andy Biggs,Person
Andy Harris,Person
Angus King,Person
Ann Kuster,Person
Ann Wagner,Person
Anna G. Eshoo,Person
Anthony Brown,Person
Ashley Hinson,Person
August Pfluger,Person
Austin Davis,Person
Austin Scott,Person
Ayanna Pressley,Person
BE:FIRST,Person
Barack Obama,Person
Barbara Lee,Person
Barney Frank,Person
Barry Loudermilk,Person
Barry Moore,Person
Ben Cardin,Person
Ben Carson,Person
Ben R. Lujan,Person
Ben Shapiro,Person
Benjamin Netanyahu,Person
Bennie G. Thompson,Person
Benny Johnson,Person
Bernie Sanders,Person
Beth Van Duyne,Person
Beto O'Rourke,Person
Betty McCollum,Person
Bill Clinton,Person
Bill Foster,Person
Bill Gates,Person
Bill Hagerty,Person
Bill Huizenga,Person
Bill Johnson,Person
Bill Lee,Person
Bill Pascrell Jr.,Person
Billy Long,Person
Blaine Luetkemeyer,Person
Blake Masters,Person
Blake Moore,Person
Bob Casey,Person
Bob Good,Person
Bob Latta,Person
Bob Menendez,Person
Bobby L. Rush,Person
Bonnie Watson Coleman,Person
Brad Schneider,Person
Brad Sherman,Person
Brad Wenstrup,Person
Brenda Lawrence,Person
Brendan Boyle,Person
Bret Baier,Person
Brett Guthrie,Person
Brett Kavanaugh,Person
Brian Babin,Person
Brian Fitzpatrick,Person
Brian Higgins,Person
Brian Kemp,Person
Brian Mast,Person
Brian Schatz,Person
Brit Hume,Person
Brittney Griner,Person
Bruce Westerman,Person
Bryan Steil,Person
Buddy Carter,Person
Burgess Owens,Person
Byron Donalds,Person
Carolyn Maloney,Person
Carson Wentz,Person
Catherine Cortez Masto,Person
Cathy McMorris Rodgers,Person
Chad Pergram,Person
Charlie Kirk,Person
Chellie Pingree,Person
Cheri Bustos,Person
Chip Roy,Person
Chris Coons,Person
Chris Jacobs,Person
Chris McDaniel,Person
Chris Murphy,Person
Chris Stewart,Person
Chris Sununu,Person
Chris Van Hollen,Person
Chuck Fleischmann,Person
Chuck Grassley,Person
Chuck Schumer,Person
Cindy Axne,Person
Clarence Thomas,Person
Claudia Tenney,Person
Clay Higgins,Person
Clay Travis ,Person
