name:ID(Politician-ca),:LABEL
Abdel Fattah el-Sisi,Politician
Abigail Spanberger,Politician
Abraham Lincoln,Politician
Adam Kinzinger,Politician
Adam Laxalt,Politician
Adam Parkhomenko,Politician
Adam Schiff,Politician
Adam Smith,Politician
Adrian Smith,Politician
Adriano Espaillat,Politician
Al Green,Politician
Al Lawson,Politician
Albio Sires,Politician
Alex Mooney,Politician
Alexandria Ocasio-Cortez,Politician
Alma Adams,Politician
Amata Radewagen,Politician
Ami Bera,Politician
Amy Klobuchar,Politician
Andrew Clyde,Politician
Andrew Garbarino,Politician
Andrew Kim,Politician
André Carson,Politician
Andy Biggs,Politician
Andy Harris,Politician
Angus King,Politician
Ann Kuster,Politician
Ann Wagner,Politician
Anna G. Eshoo,Politician
Anthony Brown,Politician
Ashley Hinson,Politician
August Pfluger,Politician
Austin Scott,Politician
Ayanna Pressley,Politician
Barack Obama,Politician
Barbara Lee,Politician
Barney Frank,Politician
Barry Loudermilk,Politician
Barry Moore,Politician
Ben Cardin,Politician
Ben Carson,Politician
Ben R. Lujan,Politician
Benjamin Netanyahu,Politician
Bennie G. Thompson,Politician
Bernie Sanders,Politician
Beth Van Duyne,Politician
Beto O'Rourke,Politician
Betty McCollum,Politician
Bill Clinton,Politician
Bill Foster,Politician
Bill Hagerty,Politician
Bill Huizenga,Politician
Bill Johnson,Politician
Bill Lee,Politician
Bill Pascrell Jr.,Politician
Billy Long,Politician
Blaine Luetkemeyer,Politician
Blake Moore,Politician
Bob Casey,Politician
Bob Good,Politician
Bob Latta,Politician
Bob Menendez,Politician
Bobby L. Rush,Politician
Bonnie Watson Coleman,Politician
Brad Schneider,Politician
Brad Sherman,Politician
Brad Wenstrup,Politician
Brenda Lawrence,Politician
Brendan Boyle,Politician
Brett Guthrie,Politician
Brett Kavanaugh,Politician
Brian Babin,Politician
Brian Fitzpatrick,Politician
Brian Higgins,Politician
Brian Mast,Politician
Brian Schatz,Politician
Bruce Westerman,Politician
Bryan Steil,Politician
Buddy Carter,Politician
Burgess Owens,Politician
Byron Donalds,Politician
Carolyn Maloney,Politician
Catherine Cortez Masto,Politician
Cathy McMorris Rodgers,Politician
Chellie Pingree,Politician
Cheri Bustos,Politician
Chip Roy,Politician
Chris Coons,Politician
Chris Jacobs,Politician
Chris McDaniel,Politician
Chris Murphy,Politician
Chris Stewart,Politician
Chris Sununu,Politician
Chris Van Hollen,Politician
Chuck Fleischmann,Politician
Chuck Grassley,Politician
Chuck Schumer,Politician
Cindy Axne,Politician
Clarence Thomas,Politician
Claudia Tenney,Politician
Clay Higgins,Politician
