state:ID,:LABEL
AK,State
AL,State
AR,State
AS,State
AZ,State
CA,State
CO,State
CT,State
DC,State
DE,State
FL,State
GA,State
GU,State
HI,State
IA,State
ID,State
IL,State
IN,State
KS,State
KY,State
LA,State
MA,State
MD,State
ME,State
MI,State
MN,State
MO,State
MP,State
MS,State
MT,State
NC,State
ND,State
NE,State
NH,State
NJ,State
NM,State
NV,State
NY,State
OH,State
OK,State
OR,State
PA,State
PR,State
RI,State
SC,State
SD,State
TN,State
TX,State
UT,State
VA,State
VI,State
VT,State
WA,State
WI,State
WV,State
WY,State
