START_ID(Tweet),:END_ID(Baseball Game),:TYPE,Specification
1532,Phillies at Astros,references,
1664,Phillies at Astros,references,
1666,Phillies at Astros,references,
2165,Phillies at Astros,references,
2166,Phillies at Astros,references,
2170,Phillies at Astros,references,
2171,Phillies at Astros,references,
3161,Phillies at Astros,references,
3162,Phillies at Astros,references,
4378,Phillies at Astros,references,
5846,Phillies at Astros,references,
5854,Phillies at Astros,references,
5877,Phillies at Astros,references,
