START_ID(Tweet),:END_ID(Political Body),:TYPE,Specification
13,United States Coast Guard,references,United States Coast Guard
73,US Military,references,US Military
111,United States Congress,references,United States Congress
113,United States Congress,references,United States Congress
113,United States House of Representatives,references,United States House of Representatives
114,United States Congress,references,United States Congress
115,United States Congress,references,United States Congress
115,United States House of Representatives,references,United States House of Representatives
133,United States Congress,references,United States Congress
133,United States House of Representatives,references,United States House of Representatives
135,United States Congress,references,United States Congress
135,United States House of Representatives,references,United States House of Representatives
139,United States Congress,references,United States Congress
141,US Environmental Protection Agency,references,US Environmental Protection Agency
141,US Environmental Protection Agency,references,US Environmental Protection Agency
160,United States Congress,references,United States Congress
165,United States Congress,references,United States Congress
165,United States House of Representatives,references,United States House of Representatives
168,United States Congress,references,United States Congress
168,United States House of Representatives,references,United States House of Representatives
187,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
205,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
206,United States Congress,references,United States Congress
206,United States Senate,references,United States Senate
206,United States House of Representatives,references,United States House of Representatives
206,United States Congress,references,United States Congress
225,United States Congress,references,United States Congress
232,United States Congress,references,United States Congress
232,United States House of Representatives,references,United States House of Representatives
233,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
234,United States Congress,references,United States Congress
234,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
235,United States Congress,references,United States Congress
235,United States Senate,references,United States Senate
235,United States Congress,references,United States Congress
242,United States Congress,references,United States Congress
242,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
243,United States Congress,references,United States Congress
245,United States Congress,references,United States Congress
248,United States Congress,references,United States Congress
248,United States House of Representatives,references,United States House of Representatives
250,United States Congress,references,United States Congress
250,United States House of Representatives,references,United States House of Representatives
251,United States Congress,references,United States Congress
251,United States House of Representatives,references,United States House of Representatives
253,United States Congress,references,United States Congress
253,United States House of Representatives,references,United States House of Representatives
255,United States Congress,references,United States Congress
269,United States Congress,references,United States Congress
269,United States House of Representatives,references,United States House of Representatives
270,United States Congress,references,United States Congress
270,United States House of Representatives,references,United States House of Representatives
291,Federal Bureau of Investigation,references,All conversation about the United States Federal Bureau of Investigation
299,United States Congress,references,United States Congress
338,US Department of State,references,US Department of State
374,US Environmental Protection Agency,references,US Environmental Protection Agency
401,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
405,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
405,United States Senate,references,United States Senate
405,United States House of Representatives,references,United States House of Representatives
405,United States Congress,references,United States Congress
410,United States Congress,references,United States Congress
410,US Military,references,US Military
416,United States Congress,references,United States Congress
416,US Military,references,US Military
425,United States Congress,references,United States Congress
435,United States Congress,references,United States Congress
435,United States House of Representatives,references,United States House of Representatives
444,United States Congress,references,United States Congress
444,US Military,references,US Military
445,United States Congress,references,United States Congress
451,United States Congress,references,United States Congress
451,United States House of Representatives,references,United States House of Representatives
458,United States Congress,references,United States Congress
477,United States Congress,references,United States Congress
500,United States Congress,references,United States Congress
500,United States House of Representatives,references,United States House of Representatives
502,United States Congress,references,United States Congress
529,United States Congress,references,United States Congress
529,United States House of Representatives,references,United States House of Representatives
542,United States Congress,references,United States Congress
542,United States House of Representatives,references,United States House of Representatives
566,United States Congress,references,United States Congress
602,United States Congress,references,United States Congress
602,United States House of Representatives,references,United States House of Representatives
615,United States Congress,references,United States Congress
643,US Environmental Protection Agency,references,US Environmental Protection Agency
651,United States Congress,references,United States Congress
652,United States Congress,references,United States Congress
652,United States House of Representatives,references,United States House of Representatives
663,United States Congress,references,United States Congress
663,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
664,United States Congress,references,United States Congress
665,United States Congress,references,United States Congress
665,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
666,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
667,United States Congress,references,United States Congress
667,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
668,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
669,United States Congress,references,United States Congress
669,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
683,Supreme Court of the United States,references,Conversation about the Supreme Court and justices
683,Supreme Court of the United States,references,Conversation about the Supreme Court and justices
705,Federal Bureau of Investigation,references,All conversation about the United States Federal Bureau of Investigation
776,United States Congress,references,United States Congress
779,United States Congress,references,United States Congress
797,United States Congress,references,United States Congress
797,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
835,United States Congress,references,United States Congress
835,United States House of Representatives,references,United States House of Representatives
836,United States Congress,references,United States Congress
836,United States House of Representatives,references,United States House of Representatives
860,United States Congress,references,United States Congress
860,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
861,United States Congress,references,United States Congress
868,United States Congress,references,United States Congress
887,United States Congress,references,United States Congress
890,North Atlantic Treaty Organization,references,North Atlantic Treaty Organization
890,United Nations,references,Global conversation about the United Nations and all related efforts.
893,United States Congress,references,United States Congress
893,Supreme Court of the United States,references,Conversation about the Supreme Court and justices
910,United States Congress,references,United States Congress
911,United States Congress,references,United States Congress
912,United States Congress,references,United States Congress
917,United States Congress,references,United States Congress
917,United States House of Representatives,references,United States House of Representatives
921,United States Congress,references,United States Congress
921,United States House of Representatives,references,United States House of Representatives
924,United States Congress,references,United States Congress
926,United States Congress,references,United States Congress
931,United States Congress,references,United States Congress
943,United States Congress,references,United States Congress
949,United States Congress,references,United States Congress
960,United States Congress,references,United States Congress
982,United States Congress,references,United States Congress
984,US Department of the Treasury,references,US Department of the Treasury
995,United States Congress,references,United States Congress
1031,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1055,United States Congress,references,United States Congress
1055,United States House of Representatives,references,United States House of Representatives
1067,United States Congress,references,United States Congress
1067,United States Senate,references,United States Senate
1067,United States House of Representatives,references,United States House of Representatives
1067,United States Congress,references,United States Congress
1078,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1130,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1143,United States Congress,references,United States Congress
1160,United States Congress,references,United States Congress
1175,United States Congress,references,United States Congress
1176,United States Congress,references,United States Congress
1180,United States Congress,references,United States Congress
1181,United States Congress,references,United States Congress
1181,United States House of Representatives,references,United States House of Representatives
1192,United States Congress,references,United States Congress
1192,United States House of Representatives,references,United States House of Representatives
1194,US Military,references,US Military
1196,United States Congress,references,United States Congress
1196,United States House of Representatives,references,United States House of Representatives
1197,United States Congress,references,United States Congress
1197,United States House of Representatives,references,United States House of Representatives
1201,United States Congress,references,United States Congress
1207,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1221,US Environmental Protection Agency,references,US Environmental Protection Agency
1223,US Environmental Protection Agency,references,US Environmental Protection Agency
1224,US Environmental Protection Agency,references,US Environmental Protection Agency
1224,US Environmental Protection Agency,references,US Environmental Protection Agency
1234,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1240,United States Congress,references,United States Congress
1250,US Environmental Protection Agency,references,US Environmental Protection Agency
1257,Federal Reserve,references,
1259,US Environmental Protection Agency,references,US Environmental Protection Agency
1260,US Environmental Protection Agency,references,US Environmental Protection Agency
1275,US Environmental Protection Agency,references,US Environmental Protection Agency
1282,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1301,United States Congress,references,United States Congress
1301,United States House of Representatives,references,United States House of Representatives
1305,United States Congress,references,United States Congress
1305,United States House of Representatives,references,United States House of Representatives
1308,United States Congress,references,United States Congress
1308,United States House of Representatives,references,United States House of Representatives
1321,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1327,United States Congress,references,United States Congress
1335,United Nations,references,Global conversation about the United Nations and all related efforts.
1338,United States Congress,references,United States Congress
1339,United States Congress,references,United States Congress
1352,United States Congress,references,United States Congress
1358,United States Congress,references,United States Congress
1358,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1378,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1380,United States Congress,references,United States Congress
1380,United States House of Representatives,references,United States House of Representatives
1386,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1387,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1388,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1389,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1424,United States Congress,references,United States Congress
1424,United States Senate,references,United States Senate
1424,United States House of Representatives,references,United States House of Representatives
1424,United States Congress,references,United States Congress
1432,United States Congress,references,United States Congress
1458,Republican National Committee,references,US Republican National Committee
1461,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
1462,United States Congress,references,United States Congress
