:START_ID(Congressperson),:END_ID(State),:LABEL,district
Alma Adams,NC,from,12.0
Robert Aderholt,AL,from,4.0
Pete Aguilar,CA,from,31.0
Rick Allen,GA,from,12.0
Colin Allred,TX,from,32.0
Mark Amodei,NV,from,2.0
Kelly Armstrong,ND,from,0.0
Jodey Arrington,TX,from,19.0
Jake Auchincloss,MA,from,4.0
Cynthia Axne,IA,from,3.0
Brian Babin,TX,from,36.0
Don Bacon,NE,from,2.0
James Baird,IN,from,4.0
Troy Balderson,OH,from,12.0
Jim Banks,IN,from,3.0
Andy Barr,KY,from,6.0
Nanette Barragán,CA,from,44.0
Karen Bass,CA,from,37.0
Joyce Beatty,OH,from,3.0
Cliff Bentz,OR,from,2.0
Ami Bera,CA,from,7.0
Jack Bergman,MI,from,1.0
Donald Beyer,VA,from,8.0
Stephanie Bice,OK,from,5.0
Andy Biggs,AZ,from,5.0
Gus Bilirakis,FL,from,12.0
Dan Bishop,NC,from,9.0
Sanford Bishop,GA,from,2.0
Earl Blumenauer,OR,from,3.0
Lisa Blunt Rochester,DE,from,0.0
Lauren Boebert,CO,from,3.0
Suzanne Bonamici,OR,from,1.0
Mike Bost,IL,from,12.0
Carolyn Bourdeaux,GA,from,7.0
Jamaal Bowman,NY,from,16.0
Brendan Boyle,PA,from,2.0
Kevin Brady,TX,from,8.0
Mo Brooks,AL,from,5.0
Anthony Brown,MD,from,4.0
Shontel Brown,OH,from,11.0
Julia Brownley,CA,from,26.0
Vern Buchanan,FL,from,16.0
Ken Buck,CO,from,4.0
Larry Bucshon,IN,from,8.0
Ted Budd,NC,from,13.0
Tim Burchett,TN,from,2.0
Michael Burgess,TX,from,26.0
Cori Bush,MO,from,1.0
Cheri Bustos,IL,from,17.0
G. Butterfield,NC,from,1.0
Ken Calvert,CA,from,42.0
Kat Cammack,FL,from,3.0
Salud Carbajal,CA,from,24.0
Tony Cárdenas,CA,from,29.0
Mike Carey,OH,from,15.0
Jerry Carl,AL,from,1.0
André Carson,IN,from,7.0
Buddy Carter,GA,from,1.0
John Carter,TX,from,31.0
Troy Carter,LA,from,2.0
Matt Cartwright,PA,from,8.0
Ed Case,HI,from,1.0
Sean Casten,IL,from,6.0
Kathy Castor,FL,from,14.0
Joaquin Castro,TX,from,20.0
Madison Cawthorn,NC,from,11.0
Steve Chabot,OH,from,1.0
Liz Cheney,WY,from,0.0
Sheila Cherfilus-McCormick,FL,from,20.0
Judy Chu,CA,from,27.0
David Cicilline,RI,from,1.0
   ,RI,from,1.0
