:START_ID(Tweet),:END_ID(TV Shows),:TYPE,Specification
121,Cuéntame Cómo Pasó,references,
127,Cuéntame Cómo Pasó,references,
395,MLB Baseball,references,All the latest action from Major League Baseball.
395,MLB Baseball,references,
598,College Football,references,All the action from NCAA college football.
598,Live: College Football,references,American college football action.
598,College Football,references,
599,College Football,references,All the action from NCAA college football.
674,American Tarzan,references,
719,WNBA Basketball,references,All the latest basketball action from the WNBA.
741,NHL Hockey,references,The latest hockey action from across the NHL.
763,NHL Hockey,references,The latest hockey action from across the NHL.
768,NBA Basketball,references,All the latest basketball action from the NBA.
772,The Island : Seuls au monde,references,
783,NHL Hockey,references,The latest hockey action from across the NHL.
785,NHL Hockey,references,The latest hockey action from across the NHL.
813,MLB Baseball,references,All the latest action from Major League Baseball.
835,The Strain,references,
877,NBA Basketball,references,All the latest basketball action from the NBA.
1061,MLB Baseball,references,All the latest action from Major League Baseball.
1061,MLB Baseball,references,
1137,College Football,references,All the action from NCAA college football.
1137,College Football,references,
1152,College Football,references,All the action from NCAA college football.
1152,College Football,references,
1186,College Football,references,All the action from NCAA college football.
1187,NBA Basketball,references,All the latest basketball action from the NBA.
1308,Line of Duty,references,
1429,MLS Soccer,references,All the action from Major League Soccer.
1429,MLS Soccer,references,
1530,MLB Baseball,references,All the latest action from Major League Baseball.
1530,MLB Baseball,references,
1532,MLB Baseball,references,All the latest action from Major League Baseball.
1532,MLB Baseball,references,
1661,MLB Baseball,references,All the latest action from Major League Baseball.
1661,MLB Baseball,references,
1663,MLB Baseball,references,All the latest action from Major League Baseball.
1663,MLB Baseball,references,
1664,MLB Baseball,references,All the latest action from Major League Baseball.
1664,MLB Baseball,references,
1666,MLB Baseball,references,All the latest action from Major League Baseball.
1666,MLB Baseball,references,
1668,American Tarzan',references,
1720,MLS Soccer,references,All the action from Major League Soccer.
1720,MLS Soccer,references,
1727,College Football,references,All the action from NCAA college football.
1729,Line of Duty,references,
1731,NBA Basketball,references,All the latest basketball action from the NBA.
1731,NBA Basketball,references,
2160,MLB Baseball,references,All the latest action from Major League Baseball.
2160,MLB Baseball,references,
2161,MLB Baseball,references,All the latest action from Major League Baseball.
2161,MLB Baseball,references,
2162,MLB Baseball,references,All the latest action from Major League Baseball.
2163,MLB Baseball,references,All the latest action from Major League Baseball.
2163,MLB Baseball,references,
2164,MLB Baseball,references,All the latest action from Major League Baseball.
2164,MLB Baseball,references,
2165,MLB Baseball,references,All the latest action from Major League Baseball.
2165,MLB Baseball,references,
2166,MLB Baseball,references,All the latest action from Major League Baseball.
2167,MLB Baseball,references,All the latest action from Major League Baseball.
2167,MLB Baseball,references,
2168,MLB Baseball,references,All the latest action from Major League Baseball.
2169,MLB Baseball,references,All the latest action from Major League Baseball.
2169,MLB Baseball,references,
2170,MLB Baseball,references,All the latest action from Major League Baseball.
2171,MLB Baseball,references,All the latest action from Major League Baseball.
2171,MLB Baseball,references,
2516,NHL Hockey,references,The latest hockey action from across the NHL.
