:START_ID(Congresspeople-ID),:END_ID,:TYPE
Alma Adams,House,in body
Robert Aderholt,House,in body
Pete Aguilar,House,in body
Rick Allen,House,in body
Colin Allred,House,in body
Mark Amodei,House,in body
Kelly Armstrong,House,in body
Jodey Arrington,House,in body
Jake Auchincloss,House,in body
Cynthia Axne,House,in body
Brian Babin,House,in body
Don Bacon,House,in body
James Baird,House,in body
Troy Balderson,House,in body
Jim Banks,House,in body
Andy Barr,House,in body
Nanette Barragán,House,in body
Karen Bass,House,in body
Joyce Beatty,House,in body
Cliff Bentz,House,in body
Ami Bera,House,in body
Jack Bergman,House,in body
Donald Beyer,House,in body
Stephanie Bice,House,in body
Andy Biggs,House,in body
Gus Bilirakis,House,in body
Dan Bishop,House,in body
Sanford Bishop,House,in body
Earl Blumenauer,House,in body
Lisa Blunt Rochester,House,in body
Lauren Boebert,House,in body
Suzanne Bonamici,House,in body
Mike Bost,House,in body
Carolyn Bourdeaux,House,in body
Jamaal Bowman,House,in body
Brendan Boyle,House,in body
Kevin Brady,House,in body
Mo Brooks,House,in body
Anthony Brown,House,in body
Shontel Brown,House,in body
Julia Brownley,House,in body
Vern Buchanan,House,in body
Ken Buck,House,in body
Larry Bucshon,House,in body
Ted Budd,House,in body
Tim Burchett,House,in body
Michael Burgess,House,in body
Cori Bush,House,in body
Cheri Bustos,House,in body
G. Butterfield,House,in body
Ken Calvert,House,in body
Kat Cammack,House,in body
Salud Carbajal,House,in body
Tony Cárdenas,House,in body
Mike Carey,House,in body
Jerry Carl,House,in body
André Carson,House,in body
Buddy Carter,House,in body
John Carter,House,in body
Troy Carter,House,in body
Matt Cartwright,House,in body
Ed Case,House,in body
Sean Casten,House,in body
Kathy Castor,House,in body
Joaquin Castro,House,in body
Madison Cawthorn,House,in body
Steve Chabot,House,in body
Liz Cheney,House,in body
Sheila Cherfilus-McCormick,House,in body
Judy Chu,House,in body
David Cicilline,House,in body
   ,House,in body
Katherine Clark,House,in body
Yvette Clarke,House,in body
Emanuel Cleaver,House,in body
Ben Cline,House,in body
Michael Cloud,House,in body
James Clyburn,House,in body
Andrew Clyde,House,in body
Steve Cohen,House,in body
Tom Cole,House,in body
James Comer,House,in body
Connie Conway,House,in body
Gerald Connolly,House,in body
Jim Cooper,House,in body
Lou Correa,House,in body
Jim Costa,House,in body
Joe Courtney,House,in body
Angie Craig,House,in body
Ric Crawford,House,in body
Dan Crenshaw,House,in body
Charlie Crist,House,in body
Jason Crow,House,in body
Henry Cuellar,House,in body
John Curtis,House,in body
Sharice Davids,House,in body
Warren Davidson,House,in body
Danny Davis,House,in body
Rodney Davis,House,in body
Madeleine Dean,House,in body
Peter DeFazio,House,in body
Diana DeGette,House,in body
Rosa DeLauro,House,in body
Suzan DelBene,House,in body
Val Demings,House,in body
Mark DeSaulnier,House,in body
Scott DesJarlais,House,in body
Theodore Deutch,House,in body
Mario Diaz-Balart,House,in body
Debbie Dingell,House,in body
Lloyd Doggett,House,in body
Byron Donalds,House,in body
Michael Doyle,House,in body
Jeff Duncan,House,in body
Neal Dunn,House,in body
Jake Ellzey,House,in body
Tom Emmer,House,in body
Veronica Escobar,House,in body
Anna Eshoo,House,in body
Adriano Espaillat,House,in body
Ron Estes,House,in body
Dwight Evans,House,in body
Pat Fallon,House,in body
Randy Feenstra,House,in body
Drew Ferguson,House,in body
Brad Finstad,House,in body
Michelle Fischbach,House,in body
Scott Fitzgerald,House,in body
Brian Fitzpatrick,House,in body
Chuck Fleischmann,House,in body
Lizzie Fletcher,House,in body
Mike Flood,House,in body
Mayra Flores,House,in body
Bill Foster,House,in body
Virginia Foxx,House,in body
Lois Frankel,House,in body
Scott Franklin,House,in body
Russ Fulcher,House,in body
Matt Gaetz,House,in body
Mike Gallagher,House,in body
Ruben Gallego,House,in body
John Garamendi,House,in body
Andrew Garbarino,House,in body
Mike Garcia,House,in body
Sylvia Garcia,House,in body
Chuy García,House,in body
Bob Gibbs,House,in body
Carlos Gimenez,House,in body
Louie Gohmert,House,in body
Jared Golden,House,in body
Jimmy Gomez,House,in body
Tony Gonzales,House,in body
Anthony Gonzalez,House,in body
Vicente Gonzalez,House,in body
Jenniffer González-Colón,House,in body
Bob Good,House,in body
Lance Gooden,House,in body
Paul Gosar,House,in body
Josh Gottheimer,House,in body
Kay Granger,House,in body
Garret Graves,House,in body
Sam Graves,House,in body
Al Green,House,in body
Mark Green,House,in body
Marjorie Greene,House,in body
Morgan Griffith,House,in body
Raúl Grijalva,House,in body
Glenn Grothman,House,in body
Michael Guest,House,in body
Brett Guthrie,House,in body
Jim Hagedorn,House,in body
Josh Harder,House,in body
Andy Harris,House,in body
Diana Harshbarger,House,in body
Vicky Hartzler,House,in body
Jahana Hayes,House,in body
Kevin Hern,House,in body
Yvette Herrell,House,in body
Jaime Herrera Beutler,House,in body
Jody Hice,House,in body
Brian Higgins,House,in body
Clay Higgins,House,in body
French Hill,House,in body
James Himes,House,in body
Ashley Hinson,House,in body
Trey Hollingsworth,House,in body
Steven Horsford,House,in body
Chrissy Houlahan,House,in body
Steny Hoyer,House,in body
Richard Hudson,House,in body
Jared Huffman,House,in body
Bill Huizenga,House,in body
Darrell Issa,House,in body
Ronny Jackson,House,in body
Sheila Jackson Lee,House,in body
Chris Jacobs,House,in body
Sara Jacobs,House,in body
