:START_ID(Congresspeople-ID),:END_ID(Tweet),:TYPE
Alma Adams,0,tweeted
Alma Adams,1,tweeted
Alma Adams,2,tweeted
Alma Adams,3,tweeted
Alma Adams,4,tweeted
Alma Adams,5,tweeted
Alma Adams,6,tweeted
Alma Adams,7,tweeted
Alma Adams,8,tweeted
Alma Adams,9,tweeted
Alma Adams,10,tweeted
Alma Adams,11,tweeted
Alma Adams,12,tweeted
Robert Aderholt,13,tweeted
Robert Aderholt,14,tweeted
Robert Aderholt,15,tweeted
Robert Aderholt,16,tweeted
Pete Aguilar,17,tweeted
Rick Allen,18,tweeted
Rick Allen,19,tweeted
Rick Allen,20,tweeted
Rick Allen,21,tweeted
Colin Allred,22,tweeted
Colin Allred,23,tweeted
Colin Allred,24,tweeted
Colin Allred,25,tweeted
Colin Allred,26,tweeted
Colin Allred,27,tweeted
Colin Allred,28,tweeted
Colin Allred,29,tweeted
Colin Allred,30,tweeted
Colin Allred,31,tweeted
Colin Allred,32,tweeted
Colin Allred,33,tweeted
Colin Allred,34,tweeted
Colin Allred,35,tweeted
Colin Allred,36,tweeted
Colin Allred,37,tweeted
Colin Allred,38,tweeted
Colin Allred,39,tweeted
Mark Amodei,40,tweeted
Mark Amodei,41,tweeted
Mark Amodei,42,tweeted
Kelly Armstrong,43,tweeted
Kelly Armstrong,44,tweeted
Kelly Armstrong,45,tweeted
Kelly Armstrong,46,tweeted
Jodey Arrington,47,tweeted
Jodey Arrington,48,tweeted
Jodey Arrington,49,tweeted
Jodey Arrington,50,tweeted
Jodey Arrington,51,tweeted
Jodey Arrington,52,tweeted
Jodey Arrington,53,tweeted
Jodey Arrington,54,tweeted
Jodey Arrington,55,tweeted
Jake Auchincloss,56,tweeted
Jake Auchincloss,57,tweeted
Jake Auchincloss,58,tweeted
Jake Auchincloss,59,tweeted
Jake Auchincloss,60,tweeted
Cynthia Axne,61,tweeted
Cynthia Axne,62,tweeted
Cynthia Axne,63,tweeted
Cynthia Axne,64,tweeted
Cynthia Axne,65,tweeted
Brian Babin,66,tweeted
Brian Babin,67,tweeted
Brian Babin,68,tweeted
Brian Babin,69,tweeted
Brian Babin,70,tweeted
Brian Babin,71,tweeted
Brian Babin,72,tweeted
Brian Babin,73,tweeted
Brian Babin,74,tweeted
Brian Babin,75,tweeted
Don Bacon,76,tweeted
Don Bacon,77,tweeted
Don Bacon,78,tweeted
Don Bacon,79,tweeted
Don Bacon,80,tweeted
Don Bacon,81,tweeted
Don Bacon,82,tweeted
Don Bacon,83,tweeted
Don Bacon,84,tweeted
Don Bacon,85,tweeted
Don Bacon,86,tweeted
Don Bacon,87,tweeted
Don Bacon,88,tweeted
Don Bacon,89,tweeted
Don Bacon,90,tweeted
Don Bacon,91,tweeted
