:START_ID(Tweet),:END_ID(Holiday-ca),:TYPE,Specification
333,Memorial Day ,references,This entity for Memorial day for all years
408,New Years Eve,references,This entity includes all conversations for New Years Eve for all years.
504,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
689,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
830,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
1719,Dia de los Muertos,references,Conversation about the holiday for all years.
2331,Good Friday,references,
2335,Good Friday,references,
2338,Good Friday,references,
2342,Good Friday,references,
2344,Good Friday,references,
2644,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
2686,Hanukkah,references,Hanukkah conversation about all years.
2896,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
2967,Diwali,references,
3173,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
3551,New Years Eve,references,This entity includes all conversations for New Years Eve for all years.
3816,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
3856,New Years Eve,references,This entity includes all conversations for New Years Eve for all years.
3921,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
3968,End of World War I,references,
4336,Dia de los Muertos,references,Conversation about the holiday for all years.
4532,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
4854,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
5298,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
5312,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
5420,Diwali,references,
5559,New Years Eve,references,This entity includes all conversations for New Years Eve for all years.
5701,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
5760,Thanksgiving Day ,references,This entity includes all conversations for all years for Thanksgiving Day 
