:START_ID(Tweet),:END_ID(Interests and Hobbies Category-ca),:TYPE,Specification
2,Veterans,references,Veterans
13,Veterans,references,Veterans
17,Veterans,references,Veterans
18,Veterans,references,Veterans
25,Veterans,references,Veterans
41,Veterans,references,Veterans
43,Veterans,references,Veterans
47,Veterans,references,Veterans
56,Veterans,references,Veterans
61,Veterans,references,Veterans
62,Personal finance,references,Personal finance
68,Veterans,references,Veterans
71,Veterans,references,Veterans
78,Veterans,references,Veterans
79,Veterans,references,Veterans
81,Veterans,references,Veterans
84,Veterans,references,Veterans
89,Veterans,references,Veterans
95,Veterans,references,Veterans
107,Veterans,references,Veterans
108,Veterans,references,Veterans
115,Veterans,references,Veterans
119,Veterans,references,Veterans
128,Veterans,references,Veterans
130,Veterans,references,Veterans
134,Construction,references,Construction
138,Veterans,references,Veterans
142,Veterans,references,Veterans
153,Veterans,references,Veterans
154,Personal finance,references,Personal finance
161,Veterans,references,Veterans
171,Veterans,references,Veterans
177,Veterans,references,Veterans
183,Veterans,references,Veterans
184,Veterans,references,Veterans
185,Veterans,references,Veterans
186,Veterans,references,Veterans
187,Veterans,references,Veterans
188,Veterans,references,Veterans
189,Veterans,references,Veterans
191,Veterans,references,Veterans
218,Personal finance,references,Personal finance
246,Veterans,references,Veterans
258,Veterans,references,Veterans
263,Veterans,references,Veterans
293,Veterans,references,Veterans
294,Veterans,references,Veterans
310,Oral care,references,
321,Veterans,references,Veterans
325,Veterans,references,Veterans
331,Veterans,references,Veterans
337,Veterans,references,Veterans
363,Weather,references,Weather
365,Design,references,Design
379,Government,references,Government
380,Government,references,Government
380,Veterans,references,Veterans
381,Government,references,Government
382,Veterans,references,Veterans
383,Community Health,references,Community Health
387,Veterans,references,Veterans
388,Veterans,references,Veterans
389,Veterans,references,Veterans
391,Veterans,references,Veterans
398,Personal finance,references,Personal finance
406,Veterans,references,Veterans
414,Veterans,references,Veterans
419,Small business,references,Small business
422,Small business,references,Small business
424,Small business,references,Small business
433,Small business,references,Small business
434,Personal finance,references,Personal finance
446,Small business,references,Small business
452,Small business,references,Small business
458,Veterans,references,Veterans
459,Veterans,references,Veterans
463,Veterans,references,Veterans
468,Veterans,references,Veterans
473,Veterans,references,Veterans
