:START_ID(Tweet),:END_ID(Interests and Hobbies Vertical-ca),:TYPE,Specification
2,Family and life stages,references,Family and Life Stages
13,Family and life stages,references,Family and Life Stages
17,Family and life stages,references,Family and Life Stages
18,Family and life stages,references,Family and Life Stages
25,Family and life stages,references,Family and Life Stages
41,Family and life stages,references,Family and Life Stages
43,Family and life stages,references,Family and Life Stages
47,Family and life stages,references,Family and Life Stages
56,Family and life stages,references,Family and Life Stages
62,Business & finance,references,
68,Family and life stages,references,Family and Life Stages
71,Family and life stages,references,Family and Life Stages
73,Careers,references,Careers
78,Family and life stages,references,Family and Life Stages
107,Family and life stages,references,Family and Life Stages
108,Family and life stages,references,Family and Life Stages
115,Family and life stages,references,Family and Life Stages
119,Family and life stages,references,Family and Life Stages
128,Family and life stages,references,Family and Life Stages
130,Family and life stages,references,Family and Life Stages
138,Family and life stages,references,Family and Life Stages
142,Family and life stages,references,Family and Life Stages
153,Family and life stages,references,Family and Life Stages
154,Business & finance,references,
161,Family and life stages,references,Family and Life Stages
167,Business & finance,references,
171,Family and life stages,references,Family and Life Stages
177,Family and life stages,references,Family and Life Stages
183,Family and life stages,references,Family and Life Stages
184,Family and life stages,references,Family and Life Stages
185,Family and life stages,references,Family and Life Stages
186,Family and life stages,references,Family and Life Stages
187,Family and life stages,references,Family and Life Stages
188,Family and life stages,references,Family and Life Stages
189,Family and life stages,references,Family and Life Stages
191,Family and life stages,references,Family and Life Stages
218,Business & finance,references,
246,Family and life stages,references,Family and Life Stages
258,Family and life stages,references,Family and Life Stages
263,Family and life stages,references,Family and Life Stages
293,Family and life stages,references,Family and Life Stages
294,Family and life stages,references,Family and Life Stages
310,Wellness and health,references,Wellness & Health
321,Family and life stages,references,Family and Life Stages
325,Family and life stages,references,Family and Life Stages
331,Family and life stages,references,Family and Life Stages
337,Family and life stages,references,Family and Life Stages
379,Business & finance,references,
379,Business & finance,references,
380,Business & finance,references,
380,Business & finance,references,
380,Family and life stages,references,Family and Life Stages
381,Business & finance,references,
381,Business & finance,references,
382,Family and life stages,references,Family and Life Stages
383,Wellness and health,references,Wellness & Health
387,Family and life stages,references,Family and Life Stages
388,Family and life stages,references,Family and Life Stages
389,Family and life stages,references,Family and Life Stages
391,Family and life stages,references,Family and Life Stages
398,Business & finance,references,
398,Business & finance,references,
406,Family and life stages,references,Family and Life Stages
410,Careers,references,Careers
414,Family and life stages,references,Family and Life Stages
416,Careers,references,Careers
434,Business & finance,references,
444,Careers,references,Careers
458,Family and life stages,references,Family and Life Stages
459,Family and life stages,references,Family and Life Stages
463,Family and life stages,references,Family and Life Stages
468,Family and life stages,references,Family and Life Stages
473,Family and life stages,references,Family and Life Stages
479,Family and life stages,references,Family and Life Stages
484,Family and life stages,references,Family and Life Stages
487,Family and life stages,references,Family and Life Stages
489,Family and life stages,references,Family and Life Stages
492,Family and life stages,references,Family and Life Stages
499,Family and life stages,references,Family and Life Stages
500,Business & finance,references,
500,Business & finance,references,
509,Family and life stages,references,Family and Life Stages
519,Family and life stages,references,Family and Life Stages
525,Business & finance,references,
530,Family and life stages,references,Family and Life Stages
531,Family and life stages,references,Family and Life Stages
544,Family and life stages,references,Family and Life Stages
545,Family and life stages,references,Family and Life Stages
555,Automotive,references,Car culture
558,Family and life stages,references,Family and Life Stages
559,Family and life stages,references,Family and Life Stages
572,Family and life stages,references,Family and Life Stages
574,Family and life stages,references,Family and Life Stages
577,Family and life stages,references,Family and Life Stages
581,Family and life stages,references,Family and Life Stages
591,Family and life stages,references,Family and Life Stages
597,Family and life stages,references,Family and Life Stages
600,Family and life stages,references,Family and Life Stages
608,Family and life stages,references,Family and Life Stages
609,Family and life stages,references,Family and Life Stages
610,Family and life stages,references,Family and Life Stages
626,Family and life stages,references,Family and Life Stages
627,Family and life stages,references,Family and Life Stages
628,Family and life stages,references,Family and Life Stages
629,Family and life stages,references,Family and Life Stages
631,Family and life stages,references,Family and Life Stages
634,Family and life stages,references,Family and Life Stages
638,Family and life stages,references,Family and Life Stages
639,Family and life stages,references,Family and Life Stages
647,Family and life stages,references,Family and Life Stages
678,Family and life stages,references,Family and Life Stages
680,Family and life stages,references,Family and Life Stages
732,Family and life stages,references,Family and Life Stages
734,Family and life stages,references,Family and Life Stages
737,Family and life stages,references,Family and Life Stages
751,Business & finance,references,
772,Family and life stages,references,Family and Life Stages
776,Family and life stages,references,Family and Life Stages
778,Family and life stages,references,Family and Life Stages
783,Family and life stages,references,Family and Life Stages
789,Family and life stages,references,Family and Life Stages
805,Family and life stages,references,Family and Life Stages
813,Drinks,references,Drinks
817,Family and life stages,references,Family and Life Stages
840,Family and life stages,references,Family and Life Stages
847,Family and life stages,references,Family and Life Stages
852,Family and life stages,references,Family and Life Stages
853,Family and life stages,references,Family and Life Stages
873,Family and life stages,references,Family and Life Stages
874,Family and life stages,references,Family and Life Stages
893,Society,references,Society
899,Business & finance,references,
899,Automotive,references,Car culture
906,Family and life stages,references,Family and Life Stages
915,Family and life stages,references,Family and Life Stages
918,Business & finance,references,
923,Business & finance,references,
932,Family and life stages,references,Family and Life Stages
938,Family and life stages,references,Family and Life Stages
939,Family and life stages,references,Family and Life Stages
940,Family and life stages,references,Family and Life Stages
952,Family and life stages,references,Family and Life Stages
953,Family and life stages,references,Family and Life Stages
956,Family and life stages,references,Family and Life Stages
966,Wellness and health,references,Wellness & Health
967,Family and life stages,references,Family and Life Stages
979,Family and life stages,references,Family and Life Stages
990,Family and life stages,references,Family and Life Stages
992,Family and life stages,references,Family and Life Stages
993,Family and life stages,references,Family and Life Stages
996,Business & finance,references,
996,Business & finance,references,
996,Society,references,Society
997,Wellness and health,references,Wellness & Health
1001,Family and life stages,references,Family and Life Stages
1009,Family and life stages,references,Family and Life Stages
1027,Business & finance,references,
1029,Family and life stages,references,Family and Life Stages
1031,Business & finance,references,
1033,Business & finance,references,
1050,Business & finance,references,
1055,Family and life stages,references,Family and Life Stages
1058,Family and life stages,references,Family and Life Stages
1063,Family and life stages,references,Family and Life Stages
1068,Family and life stages,references,Family and Life Stages
1075,Family and life stages,references,Family and Life Stages
1076,Family and life stages,references,Family and Life Stages
1077,Wellness and health,references,Wellness & Health
1106,Family and life stages,references,Family and Life Stages
1107,Family and life stages,references,Family and Life Stages
1108,Family and life stages,references,Family and Life Stages
1111,Family and life stages,references,Family and Life Stages
1113,Family and life stages,references,Family and Life Stages
1119,Family and life stages,references,Family and Life Stages
1123,Family and life stages,references,Family and Life Stages
1138,Family and life stages,references,Family and Life Stages
1140,Family and life stages,references,Family and Life Stages
1142,Family and life stages,references,Family and Life Stages
1144,Family and life stages,references,Family and Life Stages
1154,Family and life stages,references,Family and Life Stages
