:START_ID(Tweet),:END_ID(Journalist-ca),:TYPE,Specification
703,Mehdi Hasan,references,British journalist
880,Maggie Haberman,references,Maggie Haberman
919,Chad Pergram,references,Chad Pergram
922,Chad Pergram,references,Chad Pergram
985,Kimberley Strassel,references,American journalist
1187,Laura Ingraham,references,Laura Ingraham
1467,Elizabeth MacDonald,references,Elizabeth MacDonald
1843,Harmeet Dhillon,references,Harmeet Dhillon
1895,Glenn Greenwald,references,"American journalist, lawyer and writer"
2757,Sharyl Attkisson,references,Sharyl Attkisson
2778,Sharyl Attkisson,references,Sharyl Attkisson
2790,Glenn Greenwald,references,"American journalist, lawyer and writer"
2799,Sharyl Attkisson,references,Sharyl Attkisson
2800,Sharyl Attkisson,references,Sharyl Attkisson
2801,Sharyl Attkisson,references,Sharyl Attkisson
2802,Sharyl Attkisson,references,Sharyl Attkisson
2803,Sharyl Attkisson,references,Sharyl Attkisson
2880,Sharyl Attkisson,references,Sharyl Attkisson
3023,Elizabeth MacDonald,references,Elizabeth MacDonald
3319,Tony Romm,references,Tony Romm
3758,Jim Acosta,references,Jim Acosta
3912,Rachel Campos-Duffy,references,Rachel Campos-Duffy
4078,Mehdi Hasan,references,British journalist
4706,Sean Hannity,references,Sean Hannity
5360,Martha Raddatz,references,Martha Raddatz
5454,Bret Baier,references,"American journalist, host of ""Special Report with Bret Baier"
5662,Sean Hannity,references,Sean Hannity
5663,Sean Hannity,references,Sean Hannity
5762,Chad Pergram,references,Chad Pergram
5771,Nic Robertson,references,Nic Robertson
5816,Chad Pergram,references,Chad Pergram
5851,Brit Hume,references,Brit Hume
5909,Jake Sherman,references,Jake Sherman
