:START_ID(Tweet),:END_ID(Person),:TYPE
2,Pamela Helms,references
14,Cullman,references
14,Roy Drinkard,references
15,Jeff,references
30,Brittney,references
30,Brittney,references
39,Biden,references
40,Gary Martin,references
40,Gary,references
46,Biden,references
54,Gene,references
55,Christ,references
55,Butch Wagner,references
70,Biden,references
71,Biden,references
73,Biden,references
74,Biden,references
75,Joe Biden,references
78,David Black,references
78,Paul Cohen,references
79,Dennis Pavlik,references
82,Biden,references
84,Rex Gruber,references
99,Deb Fischer,references
100,Brad Ashford,references
102,Biden,references
105,Fidelis,references
116,Hebron,references
130,Walter Cox,references
130,Walter,references
136,Joe Biden,references
142,Bernard Strickland,references
148,Xavier Becerra,references
160,Shirley Chisholm,references
161,Daniel Burks,references
167,Joe Biden,references
168,Joe Biden,references
173,Ami Bera,references
173,Henry Li,references
199,Biden,references
202,Andy Biggs,references
224,Pelosi,references
224,Trump,references
228,Virginia D,references
229,McCarthy,references
232,Kevin McCarthy,references
233,Biden,references
237,Mike Lee,references
252,Biden,references
255,Joe Biden,references
255,Biden,references
256,Biden,references
258,David,references
265,Fauci,references
270,Kevin McCarthy,references
273,Biden,references
273,Biden,references
278,Joe Biden,references
279,Catherine,references
279,Gregg,references
280,Catherine Engelbrecht,references
280,Gregg Phillips,references
283,Joe Biden,references
287,Biden,references
289,Biden,references
291,DOJ,references
306,Biden,references
318,Biden,references
323,Nicole,references
332,Betty Oglesby,references
332,Betty,references
333,Jerry,references
343,Kerry,references
392,Biden,references
395,Dusty Baker,references
395,Justin Verlander,references
398,Biden,references
399,Biden,references
400,Biden,references
401,Biden,references
405,RonDeSantis,references
405,DonaldTrump,references
405,Trump,references
405,McCain,references
405,ObamaCare,references
412,Kaler,references
474,Biden,references
476,Biden,references
487,Ned Kent,references
488,Biden,references
500,Dow Jones,references
502,Biden,references
502,Dems,references
503,Biden,references
506,Biden,references
511,Trump,references
511,Trump,references
512,Brittney Griner,references
512,Brittney,references
514,Louis,references
520,Cheri Bustos,references
538,Amer,references
539,BidenBorderCrisis,references
542,Joe Biden,references
565,Xavier Becerra,references
565,Tony Cárdenas,references
572,Biden,references
572,Xi Jin,references
573,Biden,references
584,Biden,references
584,Pelosi,references
592,Nicole,references
596,Biden,references
603,Bidenflation,references
607,Dillard,references
619,TeamCarter,references
624,TeamCarter,references
633,Kapolei Hale,references
636,kūpuna,references
646,DJ Reyes,references
675,Biden,references
683,Sonia Sotomayor,references
686,Alex Jones,references
692,biden,references
692,joe biden,references
693,Sherri Zimmerman,references
693,Serafina De Los Santos,references
693,Erika Gonzalez,references
703,Kari Lake,references
703,Don Jr,references
703,Donald Trump,references
703,Ted Cruz,references
704,Ted Cruz,references
706,Abbott,references
715,Jamie Ward,references
720,DOJ,references
720,DOJ,references
736,Jim,references
740,Herschel Walker,references
747,Obama,references
772,Gil Cisneros,references
774,Richard J. Israel,references
774,Israel,references
781,Jim,references
796,Martin Luther King,references
800,Biden,references
804,Biden,references
807,Jen Easterly,references
809,BrittneyGriner,references
811,John Lewis,references
811,Dr. King,references
829,Putin,references
838,Biden,references
839,Joe Biden,references
844,Biden,references
860,Biden,references
864,risi,references
882,Trump,references
886,Slava Ukraini,references
887,Jim,references
887,John Tanners,references
887,John Tanner,references
887,Jim Cooper Bill,references
893,Lindsey Graham,references
893,Clarence Thomas,references
899,\u2069 ,references
899,for ,references
899,ure.,references
902,Putin,references
902,Yevgeny Prigozhin,references
905,Steve Cohen,references
905,” Cohen,references
912,Biden,references
912,Jame,references
913,Biden,references
916,James Comer,references
916,Joe Biden,references
918,Biden,references
918,Biden,references
919,James Comer,references
919,Jud,references
920,James Comer,references
921,Amer,references
923,Biden,references
923,Elon Musk,references
925,James Comer,references
951,William Butler Yeats,references
958,Guru Nanak,references
958,Guru Nanak,references
960,Biden,references
975,Collins,references
975,Jewell,references
976,Jamie Cameron,references
982,Mitch Snobeck,references
987,Reagan,references
1017,Jerry Moran,references
1021,Donald Roberts,references
1040,Biden,references
1041,Solzhenitsyn,references
1047,Ludwig von Mises,references
1050,Pam Daniels-Halisi,references
1067,Wade,references
1081,Biden,references
1102,Jeannette Rankin,references
1120,Alexander,references
1120,Fentanyl,references
1121,Ryan,references
1135,Biden,references
1136,Biden,references
1136,Biden,references
1139,John D. Dingell,references
1143,MI,references
1174,Trump,references
1179,Byron Donalds,references
1179,Elise Stefanik,references
1180,Aaron Bean,references
1181,Anna Paulina Luna,references
1186,NOLES,references
1189,Summer Lee,references
1189,Austin Davis,references
1191,Colonel William “Bill” Austin,references
1202,Joe Biden,references
1203,Joe Biden,references
1205,Biden,references
1205,BidenEnergyFailures,references
1207,Biden,references
1208,Joe Biden,references
1211,Biden,references
1212,BidenEnergyFailures,references
1214,Obama,references
1214,Donald Trump,references
1214,BidenEnergyFailures,references
1216,Biden,references
1217,Biden,references
1218,Biden,references
1220,Biden,references
1220,BidenEnergyFailures,references
1221,Biden,references
1227,Biden,references
1227,BidenEnergyFailures,references
1228,Biden,references
1230,Biden,references
1230,BidenEnergyFailures,references
1231,Biden,references
1232,Biden,references
1232,Trump,references
1232,Trump,references
1232,BidenEnergyFailures,references
1233,John Kerry,references
1234,Gina McCarthy,references
1234,Biden,references
1235,Biden,references
1236,Trump,references
1237,Biden,references
1237,BidenEnergyFailures,references
1238,Jen Psaki,references
1240,Biden,references
1240,BidenEnergyFailures,references
1241,Biden,references
1241,BidenEnergyFailures,references
1242,Biden,references
1242,BidenEnergyFailures,references
1243,Biden,references
1244,Biden,references
1244,BidenEnergyFailures,references
1245,Biden,references
1252,Biden,references
1256,Trump,references
1256,Obama,references
1257,Biden,references
1257,Sarah Raskin,references
1257,BidenEnergyFailures,references
1258,Biden,references
1261,Trump,references
1265,Biden,references
1266,Biden,references
1268,Saule Omarova,references
1275,Biden,references
1276,Trump,references
1276,Obama,references
1276,Trump,references
1277,Trump,references
1278,Trump,references
1281,Biden,references
1282,Jake Sullivan,references
1285,Biden,references
1285,BidenEnergyFailures,references
1287,Trump,references
1288,Trump,references
1289,Trump,references
1291,Lawrence Miller,references
1298,Bill,references
1303,Biden,references
1303,Ameri,references
1306,Joe Biden,references
1308,Biden,references
1316,Jessie,references
1320,Judy Ackerman,references
1331,Biden,references
1333,Biden,references
1334,Biden,references
1336,Biden,references
1337,Miguel Ceara Hatton,references
1378,Biden,references
1380,Joe Biden,references
1388,Biden,references
1391,Biden,references
1395,Biden,references
1399,Biden,references
1400,Biden,references
1403,Andy Biggs,references
1414,Roe,references
1414,Wade,references
1452,Bob Casey,references
1452,Dwight Evans,references
1461,Biden,references
1466,Joe Biden,references
1470,Joe Biden,references
1470,Rob Malley,references
1470,Malley,references
1472,Joe Biden,references
1473,Rob Malley,references
1475,John Kerry,references
1475,John Kerry,references
1477,Joe Biden,references
1478,Joe Biden,references
1478,Alejandro Mayorkas,references
1479,Joe Biden,references
1480,Biden,references
1481,Joe Biden,references
1482,Joe Biden,references
1483,Biden,references
1483,Trump,references
1484,Joe Biden,references
1487,Bessie Hendricks,references
1504,Biden,references
1541,Biden,references
1545,Sergio Sanchez,references
1570,CivicsWithScott,references
1576,Matt Gaetz,references
1578,McCarthy,references
1578,McConnell,references
1578,McDaniel,references
1581,Kevin McCarthy,references
1584,McCarthy,references
1584,McConnell,references
1584,McDaniel,references
1584,McFailure,references
1584,Russ Vought,references
1584,Matt Gaetz,references
1585,Scott Atlas,references
1586,Tucker,references
1588,Gaetz,references
1588,Biden,references
1588,gaetz,references
1588,biden,references
1588,taliban,references
1589,Gallagher,references
1595,Sylvestre Primous,references
1596,Sylvestre,references
1598,Sylvestre Primous,references
1625,Bill Dunkelberg,references
1625,Biden,references
1628,Biden,references
1634,Santa Clarita,references
1640,Joe Biden,references
1668,María Herrera Magdaleno,references
1683,TeamGimenez,references
1693,DOJ,references
1724,Putin,references
1757,Jenniffer González,references
1761,Jenniffer González,references
1762,Jenniffer González,references
1763,McCarthy,references
1774,Elon Musk,references
1777,Putin,references
1800,Alex Moss,references
1810,Biden,references
1822,John Kerry,references
1822,Maduro,references
1830,Biden,references
1831,Biden,references
1833,Biden,references
1837,Bidenflation,references
1842,Trump,references
1844,Liz Cheney,references
1844,Liz Cheney,references
1844,Biden,references
1851,Trump,references
1858,Kemp,references
1858,DeSantis,references
1858,Kari Lake,references
1864,Lauren Boebert,references
1865,Biden,references
1867,. Fauci,references
1873,Elon Musk,references
1876,SteveBannon,references
1878,Trump,references
1878,DeSantis,references
1880,Donald Trump,references
1885,Raphael Warnock,references
1892,Trump,references
1898,Nancy Pelosi,references
1898,Trump,references
1898,Biden,references
1902,Marcus Flowers,references
1903,Marcus Flowers,references
1904,Marcus,references
1906,Marcus Flowers,references
1911,Marcus Flowers,references
1934,Biden,references
1945,Taylor,references
1955,Roy,references
1955,Scott Atlas,references
1955,Martin Ku,references
1962,Biden,references
1965,Carl Watson Jr,references
1975,Amer,references
1979,Yvette Herrell,references
1984,Joe Biden,references
1984,Hunter Biden,references
1990,Biden,references
2002,Edward A. Ziarnowski,references
2003,Renee Wiley,references
2003,Wiley,references
2004,Tommie Wagstaff,references
2004,Wagstaff,references
2005,Richard Reisch,references
2006,Coxwain Jody Murphy,references
2007,Monica Lynch,references
2008,Wade Lewis,references
2008,Lewis,references
2009,Rose Hyman,references
2010,Louis Harrison,references
2010,Harrison,references
2011,Donald Cohen,references
2012,Richard Cohen,references
2012,Robert Eden,references
2015,Viridi Parente,references
2017,Brian Higgins,references
2021,Biden,references
2028,Mayorkas,references
2028,Mayorkas,references
2028,Biden,references
2036,Biden,references
2038,Biden,references
2044,Matt,references
2091,Larry Hogan,references
2096,Biden,references
2097,Joe Biden,references
2110,Joe Biden,references
2112,Biden,references
2116,JD,references
2119,Biden,references
2123,Biden,references
2123,Biden,references
2124,Biden,references
2128,Austin,references
2161,Dusty Baker,references
2161,Justin Verlander,references
2164,Jeremy Peña,references
2164,Dusty Baker,references
2165,Dusty Baker,references
2165,Sheila Jackson Lee,references
2167,Dusty Baker,references
2168,Dusty Baker,references
2169,Jeremy Peña,references
2171,Jim Crane,references
2191,Trump,references
2207,Brent Jones,references
2235,Portman,references
2241,Morgan,references
2251,Johnson,references
2268,Biden,references
2283,Joe Biden,references
2286,Lee Zeldin,references
2294,Joe Biden,references
2297,Joe Biden,references
2299,Joe Biden,references
2300,Joe Biden,references
2301,Joe Biden,references
2302,Joe Biden,references
2315,John Kellogg,references
2317,Lawrence Robert Oliveira,references
2325,Harold Good,references
2325,Jim Roddy,references
2325,Pat Sheridan,references
2335,Alex Maskey,references
2339,Biden,references
2340,Joe Hackett,references
2340,Thomas Byrne,references
2341,Joe Hackett,references
2345,Raymond Varner,references
2345,Raymond,references
2350,Robert Varner,references
2351,Raymond Varner,references
2352,Joe,references
2352,Wayne,references
2352,Wayne,references
2357,Joe,references
2371,Patty Picard,references
2379,Sisi,references
2390,Josh Farley,references
2406,Kim,references
2408,Kim,references
2411,Kim,references
2413,Kim,references
2416,Kim Carew,references
2431,Biden,references
2434,George Clark,references
2440,Biden,references
2441,Devin Feuerhelm,references
2442,Matt,references
2451,Vladimir Putin,references
2464,Donald Trump,references
2480,Hugh Lamar,references
2503,Achilles,references
2508,Biden,references
2508,Biden,references
2511,Biden,references
2526,DOJ,references
2527,Larsen,references
2539,Vernon Sloan,references
2542,Steve Arnold,references
2542,Steve,references
2542,Steve,references
2545,Fentanyl,references
2550,Ed Bidlack,references
2550,David Givens,references
2550,Ed,references
2550,David,references
2568,Col,references
2581,Gary,references
2585,John Lewis,references
2587,Biden,references
2594,Michael,references
2594,Paul Smiley,references
2597,Michael,references
2603,Biden,references
2603,CRISIS,references
2609,Franklin Parish,references
2619,Elon Musk,references
2628,Edgar Ontiveros,references
2644,Joe Biden,references
2645,Biden,references
2649,LBJ,references
2649,Biden,references
2653,Biden,references
2654,Joe Biden,references
2655,Biden,references
2657,Biden,references
2661,Biden,references
2662,Joe Biden,references
2663,Biden,references
2668,Biden,references
2678,Biden,references
2678,Biden,references
2680,Biden,references
2683,Tom Koch,references
2683,Abigail Adams,references
2684,Abigail Adams,references
2684,Abigail Adams,references
2713,Storm Nicole,references
2724,Tom,references
2754,Biden,references
2764,Ron Desantis,references
2772,Kerry,references
2775,Scott Atlas,references
2776,Joe Biden,references
2780,Massie,references
2780,Pelosi,references
2782,Massie,references
2782,Pelosi,references
2789,Biden,references
2790,Frank Snepp,references
2791,Joe Biden,references
2794,Jesus,references
2798,Joe Biden,references
2811,Fauci,references
2813,Biden,references
2819,Biden,references
2819,Pelosi,references
2819,Schumer,references
2819,Biden,references
2822,Biden,references
2835,Biden,references
2841,Bidenflation,references
2857,Pelosi,references
2858,McCarthy,references
2866,Joe Biden,references
2868,Biden,references
2868,Biden,references
2873,Fentanyl,references
