:START_ID(Tweet),:END_ID(Person-ca),:TYPE,Specification
0,Alma Adams,references,US Representative Alma Adams (NC-12)
1,Alma Adams,references,US Representative Alma Adams (NC-12)
2,Alma Adams,references,US Representative Alma Adams (NC-12)
3,Alma Adams,references,US Representative Alma Adams (NC-12)
4,Alma Adams,references,US Representative Alma Adams (NC-12)
5,Alma Adams,references,US Representative Alma Adams (NC-12)
6,Alma Adams,references,US Representative Alma Adams (NC-12)
7,Alma Adams,references,US Representative Alma Adams (NC-12)
8,Alma Adams,references,US Representative Alma Adams (NC-12)
9,Alma Adams,references,US Representative Alma Adams (NC-12)
9,Nikema Williams,references,
10,Alma Adams,references,US Representative Alma Adams (NC-12)
11,Alma Adams,references,US Representative Alma Adams (NC-12)
12,Alma Adams,references,US Representative Alma Adams (NC-12)
13,Robert Aderholt,references,US Representative Robert Aderholt (AL-4)
14,Robert Aderholt,references,US Representative Robert Aderholt (AL-4)
15,Robert Aderholt,references,US Representative Robert Aderholt (AL-4)
16,Robert Aderholt,references,US Representative Robert Aderholt (AL-4)
17,Pete Aguilar,references,US Representative Pete Aguilar (CA-31)
18,Rick Allen,references,US Representative Rick Allen (GA-12)
19,Rick Allen,references,US Representative Rick Allen (GA-12)
20,Rick Allen,references,US Representative Rick Allen (GA-12)
21,Rick Allen,references,US Representative Rick Allen (GA-12)
30,Joe Biden,references,US President Joe Biden
39,Joe Biden,references,US President Joe Biden
40,Mark Amodei,references,US Representative Mark Amodei (NV-02)
41,Mark Amodei,references,US Representative Mark Amodei (NV-02)
42,Mark Amodei,references,US Representative Mark Amodei (NV-02)
46,Joe Biden,references,US President Joe Biden
47,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
48,Jason Smith,references,US Representative Jason Smith (MO-08)
48,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
48,Dan Meuser,references,"Candidate for Representative from Pennsylvania, Dan Meuser"
49,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
50,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
51,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
52,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
53,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
54,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
55,Jodey Arrington,references,US Representative Jodey Arrington (TX-19)
56,Joe Biden,references,US President Joe Biden
56,Barney Frank,references,"American politician, former member of the House of Representatives for Massachusetts"
56,Jake Auchincloss,references,
57,Jake Auchincloss,references,
58,Jake Auchincloss,references,
59,Jake Auchincloss,references,
60,Jake Auchincloss,references,
61,Cindy Axne,references,"Candidate for U.S. House Iowa District 3, Cindy Axne"
62,Cindy Axne,references,"Candidate for U.S. House Iowa District 3, Cindy Axne"
63,Jim Costa,references,US Representative Jim Costa (CA-16)
63,Cindy Axne,references,"Candidate for U.S. House Iowa District 3, Cindy Axne"
64,Cindy Axne,references,"Candidate for U.S. House Iowa District 3, Cindy Axne"
65,Cindy Axne,references,"Candidate for U.S. House Iowa District 3, Cindy Axne"
66,Brian Babin,references,US Representative Brian Babin (TX-36)
66,Sean Spicer,references,Former White House Press Secretary Sean Spicer
67,Brian Babin,references,US Representative Brian Babin (TX-36)
68,Brian Babin,references,US Representative Brian Babin (TX-36)
69,Brian Babin,references,US Representative Brian Babin (TX-36)
70,Joe Biden,references,US President Joe Biden
70,Brian Babin,references,US Representative Brian Babin (TX-36)
71,Joe Biden,references,US President Joe Biden
71,Brian Babin,references,US Representative Brian Babin (TX-36)
72,Brian Babin,references,US Representative Brian Babin (TX-36)
73,Joe Biden,references,US President Joe Biden
73,Brian Babin,references,US Representative Brian Babin (TX-36)
74,Joe Biden,references,US President Joe Biden
