:START_ID(Tweet),:END_ID(Product Taxonomy-ca),:TYPE,Specification
813,Beer,references,Beer
1431,Beer,references,Beer
1743,Liquor and spirits,references,Liquor and spirits
1743,Whiskey,references,Whiskey
1785,Bagels,references,Bagels
2630,Magazines,references,
2634,Magazines,references,
2971,Digital goods & currency,references,
3463,Beer,references,Beer
3656,Sunscreen,references,Sunscreen
4077,Beer,references,Beer
4147,Wine,references,Wine
4167,Wine,references,Wine
4806,Beer,references,Beer
5581,Digital goods & currency,references,
5848,Sailboats,references,
6027,Digital goods & currency,references,
6028,Digital goods & currency,references,
