:START_ID(Tweet),:END_ID(Brand Vertical-ca),:TYPE,Specification
1,CPG,references,
3,Government/Education,references,
28,Government/Education,references,
44,Government/Education,references,
49,Entertainment,references,
109,Government/Education,references,
117,Government/Education,references,
148,Government/Education,references,
161,Government/Education,references,
163,Government/Education,references,
172,Government/Education,references,
194,Government/Education,references,
224,Entertainment,references,
232,Entertainment,references,
247,Government/Education,references,
266,Government/Education,references,
298,Government/Education,references,
315,Government/Education,references,
319,Voting Machines - Government/Education,references,
322,Government/Education,references,
328,Government/Education,references,
381,Government/Education,references,
390,Government/Education,references,
417,Government/Education,references,
465,Entertainment,references,
481,Transportation,references,
485,Government/Education,references,
490,Government/Education,references,
500,Business & finance,references,
501,Government/Education,references,
533,Government/Education,references,
544,Government/Education,references,
547,Government/Education,references,
555,Transportation,references,
575,Government/Education,references,
578,Government/Education,references,
587,Government/Education,references,
601,Government/Education,references,
609,Government/Education,references,
611,Government/Education,references,
680,Entertainment,references,
681,Entertainment,references,
703,Entertainment,references,
706,Entertainment,references,
716,Government/Education,references,
738,Government/Education,references,
784,Government/Education,references,
816,Energy,references,
822,Government/Education,references,
830,Retail industry,references,
842,Government/Education,references,
857,Government/Education,references,
875,Government/Education,references,
890,Government/Education,references,
907,Entertainment,references,
908,Entertainment,references,
913,Entertainment,references,
923,Entertainment,references,
938,Government/Education,references,
955,Government/Education,references,
969,Government/Education,references,
995,Energy,references,
1002,Government/Education,references,
1050,Business & finance,references,
1069,Government/Education,references,
1121,Government/Education,references,
1141,Government/Education,references,
1183,Government/Education,references,
1210,Government/Education,references,
1234,Entertainment,references,
1298,Government/Education,references,
1316,Government/Education,references,
1335,Government/Education,references,
1349,Government/Education,references,
1350,Government/Education,references,
1469,Government/Education,references,
1474,Banking - Business & finance,references,
1486,Government/Education,references,
1492,Government/Education,references,
1496,Government/Education,references,
1499,Government/Education,references,
1514,Government/Education,references,
1519,Government/Education,references,
1521,Government/Education,references,
1524,Business & finance,references,
1528,Government/Education,references,
1534,Government/Education,references,
1539,Entertainment,references,
1540,Government/Education,references,
1541,Entertainment,references,
1557,Government/Education,references,
1559,Government/Education,references,
1563,Government/Education,references,
1569,Banking - Business & finance,references,
1590,Government/Education,references,
1599,Government/Education,references,
1600,Government/Education,references,
1606,Entertainment,references,
1607,CPG,references,
1611,Government/Education,references,
1619,Government/Education,references,
1621,Banking - Business & finance,references,
1651,Government/Education,references,
1685,Government/Education,references,
1694,Entertainment,references,
1725,Government/Education,references,
1734,Government/Education,references,
1751,Government/Education,references,
1782,Government/Education,references,
1805,Government/Education,references,
1810,Government/Education,references,
1823,Government/Education,references,
1882,Voting Machines - Government/Education,references,
1884,Voting Machines - Government/Education,references,
1887,Voting Machines - Government/Education,references,
1893,Entertainment,references,
1896,Voting Machines - Government/Education,references,
1938,Government/Education,references,
1950,Government/Education,references,
1954,Government/Education,references,
1964,Government/Education,references,
1973,Government/Education,references,
1987,Government/Education,references,
1988,Government/Education,references,
1995,Government/Education,references,
2007,Government/Education,references,
2047,Government/Education,references,
2062,Government/Education,references,
2063,Government/Education,references,
2085,Entertainment,references,
2089,Entertainment,references,
2094,Government/Education,references,
2110,Business & finance,references,
2114,Government/Education,references,
2127,Government/Education,references,
2137,Government/Education,references,
2164,Entertainment,references,
2169,Entertainment,references,
2171,Entertainment,references,
2177,Government/Education,references,
2236,Government/Education,references,
2257,Government/Education,references,
2270,Government/Education,references,
2290,Banking - Business & finance,references,
2299,Banking - Business & finance,references,
2306,Government/Education,references,
2352,Business & finance,references,
2354,Government/Education,references,
2393,Government/Education,references,
2407,Government/Education,references,
2425,Government/Education,references,
2434,Government/Education,references,
2442,Government/Education,references,
2455,Government/Education,references,
2470,Government/Education,references,
2476,Government/Education,references,
2482,Government/Education,references,
2487,Government/Education,references,
2498,Transportation,references,
2506,Government/Education,references,
2515,Government/Education,references,
2523,Government/Education,references,
2531,Government/Education,references,
2543,Government/Education,references,
2554,Government/Education,references,
2560,Government/Education,references,
2572,Retail industry,references,
2590,Government/Education,references,
2595,Government/Education,references,
2606,Government/Education,references,
2623,Government/Education,references,
2632,Government/Education,references,
2665,Government/Education,references,
2671,Government/Education,references,
2672,Government/Education,references,
2676,Government/Education,references,
2682,Government/Education,references,
2703,Government/Education,references,
2715,Government/Education,references,
2720,Government/Education,references,
2726,Government/Education,references,
2732,Government/Education,references,
2737,Government/Education,references,
2758,CPG,references,
2759,CPG,references,
2763,Government/Education,references,
2779,CPG,references,
2791,CPG,references,
2794,CPG,references,
2825,Entertainment,references,
2861,Government/Education,references,
2887,Entertainment,references,
2888,Government/Education,references,
2889,Entertainment,references,
2891,Entertainment,references,
2893,Entertainment,references,
2900,Government/Education,references,
2904,Banking - Business & finance,references,
2914,Government/Education,references,
2916,Government/Education,references,
2920,Government/Education,references,
2928,Government/Education,references,
2977,Government/Education,references,
2997,Transportation,references,
3016,Government/Education,references,
3023,Entertainment,references,
3053,Government/Education,references,
3061,Government/Education,references,
3089,Government/Education,references,
