:START_ID(Tweet),:END_ID(Entities [Entity Service]-ca),:TYPE,Specification
3,Non-profit - Government/Education,references,
19,Auto Manufacturer - Auto,references,
28,Non-profit - Government/Education,references,
44,Non-profit - Government/Education,references,
49,TV/Movies Related - Entertainment,references,
73,US Military,references,US Military
78,Non-profit - Government/Education,references,
83,Non-profit - Government/Education,references,
109,Non-profit - Government/Education,references,
117,Non-profit - Government/Education,references,
125,Services,references,
148,Non-profit - Government/Education,references,
161,Non-profit - Government/Education,references,
163,Non-profit - Government/Education,references,
168,Organic,references,
172,Non-profit - Government/Education,references,
194,Non-profit - Government/Education,references,
215,Services,references,
224,TV/Movies Related - Entertainment,references,
232,TV/Movies Related - Entertainment,references,
247,Non-profit - Government/Education,references,
266,Non-profit - Government/Education,references,
298,Non-profit - Government/Education,references,
315,Non-profit - Government/Education,references,
322,Non-profit - Government/Education,references,
328,Non-profit - Government/Education,references,
363,Science,references,Science
381,Non-profit - Government/Education,references,
390,Non-profit - Government/Education,references,
397,Industries,references,
410,US Military,references,US Military
415,Technology,references,Technology and computing
415,Technology,references,Technology and computing
415,Energy Technology,references,Energy Technology
416,US Military,references,US Military
417,Non-profit - Government/Education,references,
444,US Military,references,US Military
465,TV/Movies Related - Entertainment,references,
481,Airline - Transportation,references,
481,Travel,references,Travel
485,Non-profit - Government/Education,references,
490,Non-profit - Government/Education,references,
500,Financial services,references,
501,Non-profit - Government/Education,references,
518,Technology,references,Technology and computing
518,3D printing,references,
533,Non-profit - Government/Education,references,
544,Non-profit - Government/Education,references,
546,Pets,references,Pets
546,Science,references,Science
546,Marine life,references,
547,Non-profit - Government/Education,references,
555,Technology,references,Technology and computing
575,Non-profit - Government/Education,references,
578,Non-profit - Government/Education,references,
587,Non-profit - Government/Education,references,
587,Pets,references,Pets
587,Dogs,references,Dogs
591,Travel,references,Travel
601,Non-profit - Government/Education,references,
609,Non-profit - Government/Education,references,
611,Non-profit - Government/Education,references,
680,TV/Movies Related - Entertainment,references,
681,TV/Movies Related - Entertainment,references,
689,Food,references,Food
689,Meals,references,Meals
703,TV/Movies Related - Entertainment,references,
706,TV/Movies Related - Entertainment,references,
716,Non-profit - Government/Education,references,
738,Non-profit - Government/Education,references,
748,Lunch,references,This entity tracks all conversations that mention lunch.
784,Non-profit - Government/Education,references,
816,Gas/Oil - Energy,references,
822,Non-profit - Government/Education,references,
830,Grocery/Convenience - Retail,references,
830,Food,references,Food
842,Non-profit - Government/Education,references,
843,Technology,references,Technology and computing
857,Non-profit - Government/Education,references,
861,Services,references,
875,Non-profit - Government/Education,references,
890,Non-profit - Government/Education,references,
899,Auto Manufacturer - Auto,references,
900,Science,references,Science
907,TV/Movies Related - Entertainment,references,
908,TV/Movies Related - Entertainment,references,
913,TV/Movies Related - Entertainment,references,
913,Services,references,
923,TV/Movies Related - Entertainment,references,
935,Travel,references,Travel
938,Non-profit - Government/Education,references,
955,Non-profit - Government/Education,references,
969,Non-profit - Government/Education,references,
995,Gas/Oil - Energy,references,
996,Retirement planning,references,Retirement planning
1002,Non-profit - Government/Education,references,
1007,Organic,references,
1017,Services,references,
1027,Technology,references,Technology and computing
1027,Financial Technology,references,
1027,Technology,references,Technology
1028,Services,references,
1031,Technology,references,Technology and computing
1031,Financial Technology,references,
1031,Technology,references,Technology
1050,Banking - Business & finance,references,
1069,Non-profit - Government/Education,references,
1074,Aerospace,references,Aerospace
1074,Science,references,Science
1077,Biology,references,Biology
1077,Medical technology,references,Medical Technology
1121,Non-profit - Government/Education,references,
1141,Non-profit - Government/Education,references,
1177,Technology,references,Technology and computing
1177,Energy Technology,references,Energy Technology
1183,Non-profit - Government/Education,references,
1193,Technology,references,Technology and computing
1193,Energy Technology,references,Energy Technology
1194,US Military,references,US Military
1195,Services,references,
1195,Technology,references,Technology and computing
1195,Energy Technology,references,Energy Technology
1210,Non-profit - Government/Education,references,
1216,Organic,references,
1224,Food,references,Food
1234,TV/Movies Related - Entertainment,references,
1272,Retirement planning,references,Retirement planning
1280,Aerospace,references,Aerospace
1280,Science,references,Science
1298,Non-profit - Government/Education,references,
1312,Travel,references,Travel
1316,Non-profit - Government/Education,references,
1335,Non-profit - Government/Education,references,
1349,Non-profit - Government/Education,references,
1350,Non-profit - Government/Education,references,
1419,Food,references,Food
