:START_ID(Tweet),:END_ID(Place),:TYPE
3,United States,references
4,North Carolina,references
5,North Carolina,references
7,Charlotte,references
10,Blue Line,references
10,CityLYNX,references
14,United States,references
15,Alabama,references
19,Statesboro,references
25,North Texas,references
26,Richardson,references
26,DC,references
28,United States,references
30,Russia,references
31,Dallas County,references
32,Richardson City Hall,references
34,GoLink,references
36,Texas,references
37,Dallas,references
40,Nevada,references
43,America,references
45,North Dakotans,references
47,West Texas,references
50,West Texas,references
52,America,references
52,Texas,references
55,Terry County,references
55,Texas,references
65,Iowa,references
65,Iowa,references
67,US,references
68,America,references
70,Delaware,references
71,America,references
73,Afghanistan,references
73,U.S.,references
87,America,references
93,America,references
98,US,references
98,Estonia,references
98,Latvia,references
98,Lithuania,references
99,Camp Ashland,references
99,Nebraska Guard,references
101,America,references
103,China,references
105,Iwo Jima,references
105,Okinawa,references
105,Chosin Reservoir,references
105,Middle East,references
108,Vietnam,references
108,America,references
110,Indiana,references
111,Indiana,references
111,Washington,references
111,Indiana,references
113,America,references
118,U.S.,references
118,Licking County,references
118,OH-12,references
121,Hong Kong,references
126,China,references
126,Washington,references
127,America,references
127,China,references
128,America,references
129,Lexington,references
131,Estill County,references
131,Kentucky,references
134,Millersburg,references
135,America,references
139,United States,references
141,US,references
142,Willowbrook,references
143,U.S.,references
144,CA,references
144,CA,references
144,US,references
145,United States,references
145,Egypt,references
149,U.S.,references
157,Ohio,references
164,Eastern Oregon,references
164,Southern Oregon,references
165,America,references
171,SacramentoCounty,references
174,Sacramento County,references
179,Russia,references
179,Ukraine,references
180,Kherson,references
180,Khe,references
188,America,references
190,Mastodon,references
191,08,references
200,Ukraine,references
203,Alexandria,references
204,Fairfax County Government Center,references
214,US,references
215,Northern Virginia,references
219,Northern Virginians,references
219,U.S.,references
221,VIRGINIA,references
223,Herndon,references
227,ArlingtonVo,references
235,US,references
240,Egypt,references
246,America,references
246,America,references
246,Oklahoma,references
246,US,references
250,America,references
255,America,references
263,America,references
266,U.S. Marines,references
267,America,references
268,America,references
273,U.S. coal,references
273,China,references
273,America,references
276,America,references
289,Yuma,references
289,AZ,references
293,Tampa Bay,references
294,Tampa Bay,references
299,Pasco County,references
301,Florida,references
304,Washington,references
308,Fort Meyers,references
311,Florida,references
312,Florida,references
314,North Carolina,references
315,Marine Corps,references
323,southeastern,references
323,US,references
323,Florida,references
323,Southwest,references
323,Georgia,references
325,New Castle,references
325,Delaware,references
326,United States,references
328,Delaware,references
329,Delaware,references
330,Delaware,references
332,U.S. Capitol,references
332,Betty,references
332,Delta,references
332,CO,references
333,Vietnam,references
336,U.S.,references
343,Egypt,references
343,U.S.,references
345,U.S.,references
348,U.S.,references
360,U.S.,references
363,Oregon,references
370,Oregon,references
380,Southern Illinois,references
383,Gwinnett,references
384,Georgia,references
385,Georgia,references
386,United States,references
389,Philadelphia,references
389,DC,references
391,United States,references
391,America,references
394,America,references
396,\u2069 Montgomery Co,references
396, in ,references
399,U.S.,references
399,China,references
401,White House,references
401,U.S.,references
404,America,references
405,White House,references
406,America,references
410,U.S.,references
415,Ohio,references
416,U.S.,references
425,Ohio,references
425,Eleventh District,references
429,Berlin Wall,references
435,United States,references
436,Euclid Ave,references
443,Court,references
444,U.S.,references
445,U.S.,references
455,Wisconsin,references
455,Indiana,references
455,Ohio,references
458,America,references
463,America,references
473,USA,references
474,US,references
475,Hillsborough,references
478,US,references
478,America,references
479,America,references
480,Rio Grande Sector,references
480,Border Patrol,references
481,Southwest Border,references
481,Senegal,references
481,Texas,references
481,United States,references
485,States Marine Corps,references
486,Main Street,references
486,Washington,references
488,America,references
493,America,references
497,Grainger County Department of Sanitation,references
503,Texas,references
505,TX,references
505,Flower Mound,references
505,Keller,references
505,Alamodome,references
505,San Antonio,references
505,North Texas,references
506,America,references
509,St. Louis,references
512,Russia,references
516,St. Louis,references
527,U.S.,references
529,North Florida,references
533,U.S. Marine Corps,references
533,U.S.,references
535,Florida,references
535,Gainesville,references
536,Florida,references
538,US,references
543,Central Coast,references
546,Lompoc,references
546,Central Coast,references
549,Santa Barbara,references
549,Carpinteria,references
549,Montecito,references
550,California,references
551,Costa Central,references
552,America,references
553,Santa Barbara,references
554,Central Coast,references
563,San Fernando Valley,references
566,Northeast,references
566,San Fernando Valley,references
567,Northeast,references
567,San Fernando Valley,references
582,Marion County,references
583,Georgia,references
585,Bryan County,references
586,Bryan County,references
586,Georgia,references
592,GA,references
592,SC,references
593,Georgia,references
597,America,references
602,America,references
607,Grand Marshal,references
607,Gentilly,references
609,LA02,references
611,USMC,references
612,LA02,references
614,LA02,references
615,LA02,references
615,Louisiana,references
617,LA02,references
618,Louisiana,references
619,LA02,references
620,NOLA,references
620,Tanzania,references
620,Tanzania,references
620,TZ,references
620,LA02,references
621,NOLA,references
621,Tanzania,references
621,US,references
623,New Orleans,references
623,LA02,references
624,LA02,references
625,Luzerne County,references
633,Honolulu Hale,references
635,U.S. Department of Justice,references
642,Illinois,references
643,Illinois,references
646,Tampa Bay,references
651,TampaBay,references
658,Egypt,references
658,U.S.,references
662,Tampa,references
672,San Antonio,references
678,San Antonio,references
681,California,references
683,U.S. Supreme Court,references
683,San Antonio,references
683,West Side,references
685,Ohio,references
689,San Antonians,references
690,South Texa,references
693,San Antonio,references
694,Tennessee,references
696,Texas,references
697,San Antonians,references
701,San Antonians,references
707,Starr County,references
707,Texas,references
710,Texas,references
713,North Carolina,references
714,America,references
723,Broward,references
723,Palm Beach,references
725,Palm,references
725,Broward Counties,references
733,Infantry Lodge,references
736,Rhode Island,references
737,Rhode Island,references
738,Marine Corps,references
741,Rhode Island,references
741,RI-02,references
748,Donovan Manor,references
748,Newport,references
752,LGBTQ+,references
756,Warren,references
757,Bristol,references
758,Barrington,references
759,Barrington,references
764,Providence,references
765,Rhode Island,references
767,Rhode Island,references
