:START_ID(Tweet),:END_ID(Sport-ca),:TYPE,Specification
395,Baseball,references,
512,Basketball,references,
598,American football,references,
599,American football,references,
711,Cricket,references,
768,Basketball,references,
813,Baseball,references,
877,Basketball,references,
1061,Baseball,references,
1137,American football,references,
1152,American football,references,
1186,American football,references,
1187,Basketball,references,
1187,Basketball,references,
1292,Soccer,references,
1292,"NCAA Women's Soccer""",references," 'Events [Entity Service],2022 United States midterm elections"
1429,Soccer,references,
1530,Baseball,references,
1532,Baseball,references,
1661,Baseball,references,
1663,Baseball,references,
1664,Baseball,references,
1666,Baseball,references,
1720,Soccer,references,
1727,American football,references,
1731,Basketball,references,
2160,Baseball,references,
2161,Baseball,references,
2162,Baseball,references,
2163,Baseball,references,
2164,Baseball,references,
2164,Baseball,references,
2165,Baseball,references,
2166,Baseball,references,
2167,Baseball,references,
2168,Baseball,references,
2169,Baseball,references,
2169,Baseball,references,
2170,Baseball,references,
2171,Baseball,references,
2171,Baseball,references,
2831,Soccer,references,
2894,Baseball,references,
2949,Basketball,references,
3161,Baseball,references,
3162,Baseball,references,
3241,Soccer,references,
3241,Softball,references,Softball
3269,American football,references,
3271,American football,references,
3463,Baseball,references,
3824,American football,references,
3860,Baseball,references,
4039,Basketball,references,
4077,Baseball,references,
4132,Soccer,references,
4378,Baseball,references,
4434,Basketball,references,
4554,Soccer,references,
4644,Soccer,references,
4644,Baseball,references,
4644,Soccer,references,
4661,American football,references,
4820,Soccer,references,
4820,Soccer,references,
4982,American football,references,
4983,American football,references,
5000,American football,references,
5001,American football,references,
5002,American football,references,
5003,American football,references,
5004,American football,references,
5005,American football,references,
5006,American football,references,
5007,American football,references,
5008,American football,references,
5009,American football,references,
5010,American football,references,
5016,American football,references,
5084,Basketball,references,
5100,College sports,references,
5188,Soccer,references,
5188,College sports,references,
5188,"NCAA Women's Soccer""",references," 'Business Taxonomy,Sports & Fitness Business,Brands, companies, advertisers and every non-person handle with the profit intent related to sports nutrition, athletic apparel, sports apps, fitness venues"
5280,American football,references,
5374,Soccer,references,
5436,American football,references,
5452,American football,references,
5498,Basketball,references,
5556,Basketball,references,
5612,Soccer,references,
5686,American football,references,
5832,Baseball,references,
5846,Baseball,references,
5854,Baseball,references,
5877,Baseball,references,
5986,American football,references,
5987,American football,references,
