:START_ID(Tweet),:END_ID(Other),:TYPE
0,HBCU Caucus Partnership Challenge,references
1,HBCUs,references
2,Pamela,references
8,Election2022,references
19,Peach State,references
20,Rick,references
20,Robin,references
21,Kyle Marrero,references
21,Jane,references
23,Inflation Reduction Act,references
24,Veterans History Project,references
27,Inflation Reduction Act,references
32,Day,references
38,Reduction Act,references
42,Dayton Chamber Veterans,references
45,Brendan,references
45,Keira,references
45,Nicolas,references
49,TUNEIN,references
53,American Agenda,references
53,TUNEIN,references
56,Veterans Day Proclamation,references
57,Marines,references
60,Daylight,references
61,IA03,references
62,IA03,references
62,Reduction,references
63,SMART,references
64,Broadband,references
65,Bipartisan Infrastructure Law,references
69,Guardians,references
78,Papillion,references
78,Veterans Day,references
78,American Legion Post 32,references
79,Korean War,references
82,Strategic Oil Reserve,references
86,GoldStarFamilies,references
88,Chann,references
91,ECON 101,references
95,Kindig,references
95,La Vista Community Foundation,references
95,WW2,references
97,Grauerholz,references
97,Becky,references
97,Karri,references
97,Dietrich,references
98,Baltic Caucus,references
100,Vets Act,references
106,COVID,references
106,Critical Supply Chain Task Force,references
116,Licking Co,references
117,Marines,references
120,USMC,references
122,BidenBorderCrisis,references
123,Save Democracy Act,references
125,YouTube,references
130,World War II,references
130,Korean War,references
134,Community Ventures,references
134,Baya Build,references
137,COP27,references
139,COP27,references
141,methane,references
141,COP27,references
141,Methane,references
142,WWII,references
143,Kerry,references
143,COP27,references
145,COP27,references
149,COP27,references
154,Reduction,references
155,Day,references
161,Veteran’s,references
161,American Legion,references
161,American Legion District 10,references
175,Rancho Cordova Youth Center,references
188,National Veterans Day Observance,references
189,Jill,references
191,VA,references
193,JPSS2,references
214,American Rescue Plan,references
216,Reduction Act,references
217,Inflation Reduction Act,references
218,Inflation Reduction Act,references
218,Affordable Care Act,references
229,Washington Post,references
238,COVID vaccine,references
240,COP27,references
254,COVID,references
260,COVID,references
261,Magnus,references
264,What’s the Biggs Idea,references
265,COVID,references
265,Biden,references
277,Reduction Act,references
280,Big Brother,references
295,Wreaths Across America,references
299,Laurel,references
300,UNITED STATES MARINE,references
302,New Port Richey Rotary Celebration of,references
305,Diesel,references
308,Pinellas,references
308,Pasco Area Agency,references
308,Hurricane Ian,references
320,CBP,references
323,Tropical,references
324,Day,references
325,War Memorial Plaza,references
333,Purple Heart,references
333,Silver Star,references
333,Gold Star,references
333,Jerry Allan Hurd,references
333,Rifle,references
338,World Science Day for,references
340,RSV,references
341,Tue,references
342,Kerry,references
343,COP27,references
345,COP27,references
346,and Science Act,references
347,Bipartisan Infrastructure Law,references
348,Inflation Reduction Act,references
353,COP27,references
353,Reduction Act,references
359,COP27,references
360,Inflation Reduction Act,references
361,COP27,references
362,Inflation Reduction Act,references
365,STEM,references
365,STEM,references
372,Champion4Children,references
377,Champion4Children,references
378,Constructing Hope,references
381,SemperFi,references
383,Four Corners Primary Care Centers,references
384,Bipartisan Infrastructure Law,references
396,ght b,references
396,st ,references
397,UTEnergyCenter,references
397,Vicki Hollub,references
402,Johnson Amendment,references
410,OH11,references
413,Big Pharma,references
415,RenewableEnergy,references
416,OH11,references
418,OH11,references
419,OH11,references
420,COVID,references
420,COVID vaccine,references
420,VaxUpAmerica,references
421,OH11,references
422,OH11,references
424,OH11,references
425,OH11,references
427,RSV,references
427,RSV,references
427,bronchiolitis,references
427,RSV,references
428,OH11,references
428,OH11,references
429,World Freedom Day,references
430,DACA,references
430,Dream Act,references
430,DACA,references
432,ACA,references
433,OH11,references
434,OH11,references
436,Board,references
437,OH11,references
442,OH11,references
443,Roe,references
444,OH11,references
446,OH11,references
448,Big Pharma,references
449,Roe,references
451,Fuel,references
452,OH11,references
453,OH11,references
468,Veterans Infertility Treatment Act,references
470,Day,references
470,Election2022,references
471,BorderlineStrong,references
472,Borderline,references
473,Manatee County Veterans Council,references
475,Tropical,references
475,Nicole,references
475,Sarasota,references
476,Washington Post,references
478,Green New Deal,references
480,Border Crisis,references
487,World War II,references
487,Sagamore,references
487,Wabash,references
495,from,references
495,Act,references
501,Semper Fi,references
504,Bidenflation,references
505,Texas UIL 6A State Marching Band Championships,references
507,Inflation Reduction Act,references
515,Day,references
517,FEMA,references
517,FEMA,references
525,Reduction,references
527,SOFA2022,references
529,Elect Bean,references
531,FL03,references
534,World Adoption Day,references
536,Storm Nicole,references
536,Hurricane Ian,references
537,Floridians,references
537,Subtropical Storm,references
537,Nicole,references
540,CBP,references
546,Cabrillo High School Aquarium,references
547,Marine,references
548,Inflation Reduction Act,references
548,Big Pharma,references
551,de Salud Comunitario,references
551,COVID-19,references
553,Donna,references
555,Reduction Act,references
555,in the Inflation Reduction Act,references
558,San Fernando Valley Veterans Day Parade,references
559,VeteransDay,references
561,San Fernando Valley Partnership,references
561,988Lifeline,references
568,Assurance Learning Academy,references
568,Van Nuys,references
570,Casa Esperanza,references
570,Vecinos Meeting,references
570,Vecinos,references
572,COP27,references
579,Tina,references
586,GA01,references
587,Devil Dogs,references
589,Tropical Storm Nicole,references
589,TSNicole,references
599,Georgia Bulldog,references
601,Marines,references
606,Grand Marshalls,references
606,DillardHomecoming,references
607,Homecoming Parade,references
608,V.,references
609,TeamCarter,references
609,Betsy,references
609,New Orleans American Legion,references
609,American,references
612,Military Service Academy,references
613,Bipartisan,references
614,TheVoiceOfThePeople,references
617,Election2022,references
617,GeauxVote,references
618,GeauxVote,references
623,Hubig’s Pies,references
623,Ramsays,references
624,Service Academy,references
630,Day,references
632,Voter Service Centers,references
632,O’ahu,references
633,’ahu,references
636,National Elder Fraud,references
640,Election2022,references
642,American Rescue Plan,references
642,Act,references
644,Medicaid,references
644,COVID19,references
648,Sergi,references
648,WWII,references
648,Rocco Sergi,references
649,Felicia Pecora,references
650,FL14,references
652,COP27,references
654,Reduction Act,references
655,COP27,references
656,COP27,references
658,COP27,references
660,Nicole,references
661,TS Nicole,references
666,Inflation Reduction Act,references
671,Robstown,references
677,PACT Act,references
677,PACT,references
679,Sanitation,references
680,Veterans Day,references
682,TCEQ,references
688,Written Opinion,references
693,Olga Custodio,references
700,Day,references
701,Day,references
710,Facebook,references
711,Salsa Bowl XIV,references
715,Heroes of Main Street award,references
715,Alex Boehnke,references
725,Storm Nicole,references
726,Election2022,references
735,Woonsocket Senior Center,references
737,Day Observance,references
745,Day,references
748,Lynn Underw,references
749,Business,references
755,PVD,references
