:START_ID(Tweet),:END_ID(Hashtag),:TYPE
1,HBCUs,has hashtag
2,VeteransDay,has hashtag
8,Election2022,has hashtag
9,Election2022,has hashtag
17,VeteransDay,has hashtag
18,VeteransDay,has hashtag
25,VeteransDay,has hashtag
28,SemperFi,has hashtag
35,ElectionDay,has hashtag
41,VeteransDay,has hashtag
47,VeteransDay,has hashtag
49,TUNEIN,has hashtag
50,TX19,has hashtag
53,TUNEIN,has hashtag
61,VeteransDay,has hashtag
61,IA03,has hashtag
62,IA03,has hashtag
62,PeopleOverPolitics,has hashtag
68,HappyVeteransDay,has hashtag
69,spaceforcecaucus,has hashtag
79,VeteransDay,has hashtag
81,VeteransDay,has hashtag
83,SemperFi,has hashtag
84,VeteransDay,has hashtag
86,GoldStarFamilies,has hashtag
100,NE02,has hashtag
101,CrimeCrisis,has hashtag
110,Indiana,has hashtag
118,EnergyJobs,has hashtag
120,USMC,has hashtag
121,CCP,has hashtag
122,BidenBorderCrisis,has hashtag
127,CCP,has hashtag
133,CommitmentToAmerica,has hashtag
135,CommitmentToAmerica,has hashtag
137,CHCProud,has hashtag
137,COP27,has hashtag
138,VeteransDay,has hashtag
139,COP27,has hashtag
140,EJforAll,has hashtag
140,InflationReductionAct,has hashtag
141,COP27,has hashtag
142,VeteransDay,has hashtag
142,Willowbrook,has hashtag
143,COP27,has hashtag
144,CA,has hashtag
144,CodifyRoe,has hashtag
145,COP27,has hashtag
149,COP27,has hashtag
149,InflationReductionAct,has hashtag
150,VOTA,has hashtag
151,VOTE,has hashtag
152,VOTE,has hashtag
153,VeteransDay,has hashtag
153,OH03,has hashtag
154,PeopleOverPolitics,has hashtag
158,PeopleOverPolitics,has hashtag
160,OnThisDay,has hashtag
162,VeteransDay2022,has hashtag
163,SemperFi,has hashtag
170,PACTAct,has hashtag
171,SacramentoCounty,has hashtag
174,ElectionDay,has hashtag
183,VeteransDay,has hashtag
193,JPSS2,has hashtag
203,ElectionDay,has hashtag
206,PeopleOverPolitics,has hashtag
207,IVoted,has hashtag
207,ElectionDay,has hashtag
207,ElectionDay2022,has hashtag
207,Midterms2022,has hashtag
207,Vote,has hashtag
207,Vote2022,has hashtag
207,GoVote,has hashtag
208,ElectionDay,has hashtag
210,ElectionDay,has hashtag
210,Vote,has hashtag
211,GoVote,has hashtag
211,ElectionDay,has hashtag
211,Election2022,has hashtag
211,Midterms2022,has hashtag
211,VA08,has hashtag
220,Election2022,has hashtag
222,vote,has hashtag
223,election,has hashtag
226,vote,has hashtag
239,GetCovered,has hashtag
246,OK05,has hashtag
248,CommitmentToAmerica,has hashtag
249,OK05,has hashtag
251,Bidenflation,has hashtag
259,Veterans,has hashtag
270,ampFW,has hashtag
275,Election2022,has hashtag
275,ElectionDay,has hashtag
275,Midterms,has hashtag
275,NoAmnesty,has hashtag
275,Vote,has hashtag
275,VoteRed2022,has hashtag
275,ampFW,has hashtag
298,SemperFidelis,has hashtag
303,CommitmenttoAmerica,has hashtag
307,CommitmentToAmerica,has hashtag
321,VeteransDay,has hashtag
324,Election2022,has hashtag
325,VeteransDay,has hashtag
343,COP27,has hashtag
353,COP27,has hashtag
355,Veterans,has hashtag
355,publiclands,has hashtag
365,STEMDay,has hashtag
371,ElectionDay,has hashtag
372,Champion4Children,has hashtag
376,SchoolPyschWeek,has hashtag
377,Champion4Children,has hashtag
377,InvestInKids,has hashtag
380,VeteransDay,has hashtag
381,SemperFi,has hashtag
387,VeteransDay,has hashtag
388,VeteransDay,has hashtag
394,GreenNewDeal,has hashtag
395,houston,has hashtag
395,astros,has hashtag
395,WorldSeries,has hashtag
396,LLS,has hashtag
397,UTEnergyCenter,has hashtag
398,Biden,has hashtag
398,Treasury,has hashtag
399,Biden,has hashtag
402,HouseGOP,has hashtag
405,RonDeSantis,has hashtag
405,DonaldTrump,has hashtag
407,Election2022,has hashtag
408,OH11,has hashtag
410,OH11,has hashtag
413,InflationReductionAct,has hashtag
413,PeopleOverPolitics,has hashtag
414,VeteransDay,has hashtag
415,RenewableEnergy,has hashtag
416,OH11,has hashtag
418,OH11,has hashtag
419,OH11,has hashtag
420,VaxUpAmerica,has hashtag
421,PeopleOverPolitics,has hashtag
421,OH11,has hashtag
421,DemsCreateJobs,has hashtag
422,OH11,has hashtag
424,OH11,has hashtag
425,OH11,has hashtag
426,healthcare,has hashtag
426,energy,has hashtag
426,PeopleOverPolitics,has hashtag
428,OH11,has hashtag
428,InflationReductionAct,has hashtag
428,OH11,has hashtag
432,ACA,has hashtag
433,OH11,has hashtag
434,OH11,has hashtag
434,InflationReductionAct,has hashtag
434,ACA,has hashtag
434,GetCovered,has hashtag
435,InflationReductionAct,has hashtag
437,OH11,has hashtag
437,PeopleOverPolitics,has hashtag
437,DemsCreateJobs,has hashtag
438,ElectionDay,has hashtag
438,Midterms2022,has hashtag
442,OH11,has hashtag
442,PeopleOverPolitics,has hashtag
443,Roe,has hashtag
444,OH11,has hashtag
446,OH11,has hashtag
447,ACA,has hashtag
447,GetCovered,has hashtag
448,InflationReductionAct,has hashtag
449,Roe,has hashtag
451,PeopleOverPolitics,has hashtag
452,OH11,has hashtag
453,OH11,has hashtag
463,VeteransDay,has hashtag
464,Election2022,has hashtag
465,PeopleOverPolitics,has hashtag
470,Election2022,has hashtag
471,BorderlineStrong,has hashtag
486,CommitmentToAmerica,has hashtag
488,CommitmentToAmerica,has hashtag
489,VeteransDay,has hashtag
498,BidenEnergyCrisis,has hashtag
499,VeteransDay,has hashtag
504,Bidenflation,has hashtag
505,Alamodome,has hashtag
509,VeteransDay,has hashtag
512,WeAreBG,has hashtag
519,VeteransDay,has hashtag
521,SpeakOutAct,has hashtag
523,ElectionDay,has hashtag
524,ElectionDay,has hashtag
525,ACA,has hashtag
525,GetCovered,has hashtag
526,ElectionDay,has hashtag
527,SOFA2022,has hashtag
531,FL03,has hashtag
535,CommitmentToAmerica,has hashtag
537,Nicole,has hashtag
539,BidenBorderCrisis,has hashtag
544,VeteransDay,has hashtag
545,VeteransDay,has hashtag
547,SemperFi,has hashtag
550,ElectionDay,has hashtag
557,TeamCárdenas,has hashtag
559,VeteransDay,has hashtag
561,988Lifeline,has hashtag
562,988Lifeline,has hashtag
572,InFocus,has hashtag
575,SemperFi,has hashtag
576,CommitmentToAmerica,has hashtag
583,VeteransDay2022,has hashtag
586,GA01,has hashtag
589,TSNicole,has hashtag
593,CommitmentToAmerica,has hashtag
595,CommitmentToAmerica,has hashtag
597,CaregivingHappens,has hashtag
597,CGOY,has hashtag
598,GoDawgs,has hashtag
599,GoDawgs,has hashtag
603,Bidenflation,has hashtag
604,DillardHomecoming,has hashtag
604,myDU,has hashtag
604,FairDillard,has hashtag
606,DillardHomecoming,has hashtag
608,VeteransDay,has hashtag
609,TeamCarter,has hashtag
609,VeteransDay,has hashtag
609,LA02,has hashtag
610,VeteransDay,has hashtag
611,USMC,has hashtag
611,Marines,has hashtag
611,SemperFi,has hashtag
611,SemperFidelis,has hashtag
612,LA02,has hashtag
613,Infrastructure,has hashtag
614,TheVoiceOfThePeople,has hashtag
614,Election2022,has hashtag
614,LA02,has hashtag
615,LA02,has hashtag
617,Election2022,has hashtag
617,LA02,has hashtag
617,GeauxVote,has hashtag
618,GeauxVote,has hashtag
619,TeamCarter,has hashtag
619,LA02,has hashtag
620,LA02,has hashtag
623,BFD,has hashtag
623,LA02,has hashtag
624,TeamCarter,has hashtag
624,LA02,has hashtag
624,MilitaryServiceAcademies,has hashtag
632,Election2022,has hashtag
633,Election2022,has hashtag
638,VeteransDay,has hashtag
640,Election2022,has hashtag
644,Medicaid,has hashtag
644,COVID19,has hashtag
644,Medicaid,has hashtag
646,PACTAct,has hashtag
650,FL14,has hashtag
651,TampaBay,has hashtag
651,VeteransDay2022,has hashtag
652,COP27,has hashtag
654,TBT,has hashtag
655,COP27,has hashtag
656,COP27,has hashtag
658,COP27,has hashtag
724,Election2022,has hashtag
726,Election2022,has hashtag
727,bansoffourbodies,has hashtag
728,SchoolPsychWeek,has hashtag
729,ElectionDay,has hashtag
729,Vote,has hashtag
734,VeteransDay,has hashtag
760,BeAVoter,has hashtag
768,gunsafety,has hashtag
778,VeteransDay,has hashtag
782,SpeakOutAct,has hashtag
786,SmallBusiness,has hashtag
789,VeteransDay2022,has hashtag
789,Veterans,has hashtag
798,Election2022,has hashtag
805,VeteransDay,has hashtag
809,BrittneyGriner,has hashtag
818,FirstGenWeek,has hashtag
829,StandWithUkraine,has hashtag
831,ForThePeople,has hashtag
833,VOTE,has hashtag
835,PeopleOverPolitics,has hashtag
840,VeteransDay,has hashtag
842,SemperFi,has hashtag
844,Bidenflation,has hashtag
850,CommitmentToAmerica,has hashtag
852,VeteransDay,has hashtag
853,VeteransDay,has hashtag
854,PeopleOverPolitics,has hashtag
854,PoliticsOverPeople,has hashtag
857,SemperFidelis,has hashtag
858,WorldFreedomDay,has hashtag
863,VOTE,has hashtag
863,ElectionDay,has hashtag
866,Election2022,has hashtag
867,GetOutandVOTE,has hashtag
874,VeteransDay,has hashtag
900,Election2022,has hashtag
905,GoogleAlerts,has hashtag
906,VeteransDay,has hashtag
907,NextRevFNC,has hashtag
909,Weekender,has hashtag
914,PBM,has hashtag
915,VeteransDay,has hashtag
927,InFocus,has hashtag
932,ThankYouForYourService,has hashtag
933,SupportCaliforniaAgriculture,has hashtag
940,VA11,has hashtag
940,VeteransDay,has hashtag
943,VA11,has hashtag
952,VeteransDay,has hashtag
953,VeteransDay,has hashtag
954,ACA,has hashtag
955,SemperFi,has hashtag
958,Gurupurab,has hashtag
960,ACA,has hashtag
960,GetCovered,has hashtag
961,Election2022,has hashtag
963,Election2022,has hashtag
966,FluSeason,has hashtag
967,VeteransDay,has hashtag
979,MN02,has hashtag
988,VictimsOfCommunismDay,has hashtag
990,VeteransDay,has hashtag
1007,COP27,has hashtag
1009,VeteransDay,has hashtag
1009,KS03,has hashtag
1010,KS03,has hashtag
1011,Vote,has hashtag
1013,BipartisanInfrastructureLaw,has hashtag
1015,KS03,has hashtag
1016,KS03,has hashtag
1023,fact,has hashtag
1024,SoundMoney,has hashtag
1024,CBDC,has hashtag
1027,FinTech,has hashtag
1028,FakeNews,has hashtag
1030,DefendFreedom,has hashtag
1031,fintech,has hashtag
1032,DeedsNotWords,has hashtag
1034,DeedsNotWords,has hashtag
1036,SoundMoney,has hashtag
1037,DefendFreedom,has hashtag
1037,SoundMoney,has hashtag
1038,KYC,has hashtag
1042,StopTheCartels,has hashtag
1061,RedOctober,has hashtag
