:START_ID(Tweet),:END_ID(Organization),:TYPE
2,US Army,references
13,Army,references
13,Navy,references
13,Air Force,references
13,Coast Guard,references
13,Space Force,references
14,Marine Corps,references
21,Georgia Southern,references
21,Eagles,references
26,Congress,references
27,North Texans,references
35,North Texan,references
36,Department of Justice’s Civil Rights Division,references
37,Department of Justice,references
40,LVRJ,references
50,TX19,references
50,WTX,references
51,Democrats,references
72,Democrats,references
72,Democrats,references
85,Energy Information Administration,references
98,NATO,references
105,United States Marines,references
114,Hoosiers,references
114,Congress,references
120,Marines,references
121,Big,references
121,CCP,references
121,CCP,references
122,Border Patrol,references
124,Democrat Party,references
125,Google,references
125,Big,references
127,CCP,references
133,Congress,references
137,CHCProud,references
150,VOTA,references
160,Congress,references
168,House Democrats,references
170,Congress,references
187,Biden,references
187,Harris Administration,references
188,Arlington National C,references
192,CPI,references
201,Congress,references
224,CNN,references
232,House,references
242,Congress,references
245,Congress,references
255,Congress,references
268,Democrats,references
291,FBI,references
298,United States Marine Corps,references
308,Floridians,references
309,Big Tech,references
319,Democrats,references
322,United States Marine Corps,references
339,CPI,references
366,USCIS,references
368,ICE,references
384,Gwinnett,references
393,WSJ,references
393,IRS,references
395,Houston Astros,references
395,houston,references
395,astros,references
395,WorldSeries,references
402,HouseGOP,references
402,IRS,references
412,CWRU,references
425,Congress,references
434,ACA,references
439,House,references
445,Democratic Congress,references
447,ACA,references
447,Democrats,references
458,Congress,references
465,Democratic,references
467,Congress,references
484,Navy Reserve,references
484,Congress,references
490,United States Marine Corps,references
501,United States Marine Corps,references
505,Marcus High Schools,references
510,Department of Homeland Security,references
510,DHS,references
511,DHS,references
511,DHS,references
525,ACA,references
532,Congress,references
542,House,references
552,DACA,references
559,Congress,references
563,Congress,references
566,Congress,references
570,Congress,references
580,Senate,references
587,United States Marine Corps,references
590,Republican House,references
597,CGOY,references
599,GoDawgs,references
611,United,references
611,Marine Corps,references
615,Congress,references
615,House of Representatives,references
635,of Crime,references
651,Congress,references
663,Congress,references
664,Congress,references
665,Congress,references
667,Congress,references
672,Congress,references
675,Democratic Congress,references
682,TCEQ,references
686,Sandy Hook school,references
706,Texas,references
710,of Public Safety,references
711,Kennedy High School,references
711,Memorial High School,references
723,DeSantis,references
723,Department of Justice,references
723,DOJ,references
741,Congress,references
741,Rhode Islanders,references
746,RI Democrats,references
746,Democrats,references
748,Newport City,references
750,Human Rights Campaign,references
754,Republican Party,references
755,Dems,references
758,Democrats,references
759,Democrats,references
760,Democrats,references
766,Providence,references
766,Concejal,references
767,WaterFire Providence,references
776,Congress,references
783,Rhode Islanders,references
787,WaterFire,references
790,Congress,references
793,Democrats,references
797,Congress,references
800,Democrats,references
802,Democrats,references
804,Democratic Congress,references
816,Exxon,references
816,Chevron,references
816,Shell,references
821,CPI,references
824,Congress,references
825,HUD,references
849,Border Patrol,references
854,Democrats,references
860,Congress,references
861,Congress,references
862,Republican,references
868,Congress,references
869,House Republican,references
873,Navy,references
887,Congress,references
890,NATO,references
890,UN Security Council,references
896,Bezos,references
899,ord T,references
914,Congress,references
914,PBM,references
917,House,references
920,GOP,references
924,Congress,references
926,Biden,references
926,Congress,references
931,Congress,references
943,Congress,references
949,Congress,references
954,ACA,references
960,ACA,references
968,Mohawk,references
971,of State,references
974,Ledyard Fire Department,references
975,Navy,references
979,United States Armed Forces,references
982,Eagan High School,references
982,Congress,references
985,WSJ,references
993,Congress,references
994,ICE,references
994,ICE,references
995,Shell,references
995,Congress,references
1000,Broncos,references
1008,Kansas delegation,references
1012,Kansas Secretary of State,references
