:START_ID(Tweet),:END_ID(Product-ca),:TYPE,Specification
125,Google brand conversation,references,
215,Google Innovation,references,
481,Southwest Airlines - Wanna Get Away,references,
861,Google Innovation,references,
1017,Google Innovation,references,
1195,Google Innovation,references,
1333,Apple - Siri,references,
1334,Apple - Siri,references,
1711,Google Innovation,references,
1846,Google Innovation,references,
2396,Google Innovation,references,
3046,Google Innovation,references,
3084,Google Innovation,references,
3233,Google Innovation,references,
3303,Google Innovation,references,
3391,Google Innovation,references,
3898,Google Innovation,references,
3955,Google Innovation,references,
4037,Google Innovation,references,
4612,Google Innovation,references,
4815,Google Innovation,references,
5319,Google Innovation,references,
5320,Google Innovation,references,
5967,Google Innovation,references,
6001,Google Innovation,references,
