:START_ID(Tweet),:END_ID(Technology-ca),:TYPE,Specification
415,Technology,references,Technology and computing
555,Technology,references,Technology and computing
1027,Fintech,references,
1031,Fintech,references,
2141,Social media,references,
2141,Social media,references,
2498,Technology,references,Technology and computing
2574,Technology,references,Technology and computing
2933,Technology,references,Technology and computing
2997,Technology,references,Technology and computing
3046,Technology,references,Technology and computing
3051,Technology,references,Technology and computing
3052,Technology,references,Technology and computing
3708,Technology,references,Technology and computing
3795,Technology,references,Technology and computing
3796,Technology,references,Technology and computing
4159,Technology,references,Technology and computing
5027,Social media,references,
5027,Social media,references,
