:START_ID(Tweet),:END_ID(Brand-ca),:TYPE,Specification
1,Amgen,references,Amgen
3,U.S. Marine Corps,references,
19,Hyundai,references,
28,U.S. Marine Corps,references,
44,U.S. Marine Corps,references,
49,FOX Business,references,FOX Business
78,The American Legion,references,
83,U.S. Marine Corps,references,
104,Twitter,references,
109,U.S. Marine Corps,references,
117,U.S. Marine Corps,references,
121,Apple,references,
125,Google ,references,
148,Us Against Alzheimer's,references,
161,The American Legion,references,
163,U.S. Marine Corps,references,
172,U.S. Marine Corps,references,
179,The Hill,references,The Hill
194,U.S. Marine Corps,references,
224,CNN,references,
229,The Washington Post,references,
232,CNN,references,
247,U.S. Marine Corps,references,
266,U.S. Marine Corps,references,
298,U.S. Marine Corps,references,
315,U.S. Marine Corps,references,
322,U.S. Marine Corps,references,
328,U.S. Marine Corps,references,
381,U.S. Marine Corps,references,
390,U.S. Marine Corps,references,
393,The Wall Street Journal,references,
417,U.S. Marine Corps,references,
465,Fox News,references,Fox News
476,The Washington Post,references,
481,Southwest Airlines,references,
485,U.S. Marine Corps,references,
490,U.S. Marine Corps,references,
500,Dow Jones,references,
501,U.S. Marine Corps,references,
533,U.S. Marine Corps,references,
544,U.S. Marine Corps,references,
547,U.S. Marine Corps,references,
575,U.S. Marine Corps,references,
578,U.S. Marine Corps,references,
587,U.S. Marine Corps,references,
601,U.S. Marine Corps,references,
609,The American Legion,references,
611,U.S. Marine Corps,references,
679,The Washington Post,references,
680,NBC News,references,NBC News
681,NBC News,references,NBC News
703,CNN,references,
706,ABC News,references,ABC News
707,The New York Times,references,
716,U.S. Marine Corps,references,
738,U.S. Marine Corps,references,
784,U.S. Marine Corps,references,
786,Allstate,references,
816,Chevron,references,
816,ExxonMobil,references,
816,BP,references,
816,Chevron,references,
816,Shell,references,
816,Exxon,references,
822,U.S. Marine Corps,references,
830,Walgreens,references,
842,U.S. Marine Corps,references,
857,U.S. Marine Corps,references,
875,U.S. Marine Corps,references,
890,United Nations,references,Global conversation about the United Nations and all related efforts.
896,The Washington Post,references,
898,The New York Times,references,
899,The New York Times,references,
899,Tesla Motors,references,
902,The Guardian,references,The Guardian
907,Fox News,references,Fox News
908,Fox News,references,Fox News
909,CBS,references,
909,CBS News,references,
910,CBS,references,
910,CBS News,references,
913,Fox News,references,Fox News
913,Twitter,references,
923,Fox News,references,Fox News
938,The American Legion,references,
955,U.S. Marine Corps,references,
969,U.S. Marine Corps,references,
985,The Wall Street Journal,references,
995,ExxonMobil,references,
995,Shell,references,
995,Exxon,references,
1002,U.S. Marine Corps,references,
1028,Twitter,references,
1036,The Wall Street Journal,references,
1047,The New York Times,references,
1050,BMO (Bank of Montreal),references,
1054,The Associated Press,references,
1069,U.S. Marine Corps,references,
1074,NASA,references,NASA
1121,U.S. Marine Corps,references,
1141,U.S. Marine Corps,references,
1166,The New York Times,references,
1183,U.S. Marine Corps,references,
1210,Energy.gov,references,Energy.gov
1234,MSNBC,references,
1280,NASA,references,NASA
1298,U.S. Marine Corps,references,
1299,FTX,references,
1316,U.S. Marine Corps,references,
1333,Apple,references,
1334,Apple,references,
1335,United Nations,references,Global conversation about the United Nations and all related efforts.
1349,U.S. Marine Corps,references,
1350,U.S. Marine Corps,references,
1458,The New York Times,references,
1458,Twitter,references,
1469,U.S. Marine Corps,references,
1486,U.S. Marine Corps,references,
1492,U.S. Marine Corps,references,
1496,U.S. Marine Corps,references,
1499,U.S. Marine Corps,references,
1507,McNeil-PPC,references, Inc
1514,U.S. Marine Corps,references,
1519,U.S. Marine Corps,references,
1521,U.S. Marine Corps,references,
1523,ONCE,references,
1524,Credit Cards,references,
1524,Wells Fargo,references,
1528,U.S. Marine Corps,references,
1534,U.S. Marine Corps,references,
1539,Fox News,references,Fox News
1540,U.S. Marine Corps,references,
1541,FOX Business,references,FOX Business
1543,Credit Cards,references,
1557,U.S. Marine Corps,references,
1559,Veterans of Foreign Wars,references,
1563,U.S. Marine Corps,references,
1590,Veterans of Foreign Wars,references,
1599,U.S. Marine Corps,references,
1600,U.S. Marine Corps,references,
1606,Fox News,references,Fox News
1607,Eli Lilly and Company,references,
1607,Twitter,references,
1611,U.S. Marine Corps,references,
1619,U.S. Marine Corps,references,
1651,U.S. Marine Corps,references,
1679,Steam,references,
1685,U.S. Marine Corps,references,
1690,New York Post,references,New York Post
1694,Fox News,references,Fox News
1725,Planned Parenthood,references,
1734,U.S. Marine Corps,references,
1751,U.S. Marine Corps,references,
1774,Twitter,references,
1776,Aposto!,references,
1782,U.S. Marine Corps,references,
1805,U.S. Marine Corps,references,
1810,United Nations,references,Global conversation about the United Nations and all related efforts.
1823,U.S. Marine Corps,references,
1873,Twitter,references,
1893,CNN,references,
1902,Twitter,references,
1904,Twitter,references,
1908,Twitter,references,
1910,Twitter,references,
1938,U.S. Marine Corps,references,
1950,Veterans of Foreign Wars,references,
1954,U.S. Marine Corps,references,
1964,U.S. Marine Corps,references,
1973,U.S. Marine Corps,references,
1987,U.S. Marine Corps,references,
1988,U.S. Marine Corps,references,
1995,U.S. Marine Corps,references,
2002,Chevrolet,references,
2002,Chevrolet,references,
2007,U.S. Marine Corps,references,
2047,U.S. Marine Corps,references,
2062,Veterans of Foreign Wars,references,
2062,The American Legion,references,
2063,U.S. Marine Corps,references,
2085,Fox News,references,Fox News
2089,Fox News,references,Fox News
2094,U.S. Marine Corps,references,
2110,Bloomberg,references,News from Bloomberg LP (not Mike Bloomberg)
2114,U.S. Marine Corps,references,
2119,Twitter,references,
2121,Twitter,references,
2127,U.S. Marine Corps,references,
2137,U.S. Marine Corps,references,
2138,The Hill,references,The Hill
2141,Twitter,references,
2164,MLB,references,
2169,MLB,references,
2171,MLB,references,
2177,U.S. Marine Corps,references,
2236,U.S. Marine Corps,references,
2248,TikTok,references,
2248,Bytedance,references,
2257,U.S. Marine Corps,references,
2270,U.S. Marine Corps,references,
2306,U.S. Marine Corps,references,
2313,U.S. Marine Corps,references,
2352,Farmers Insurance,references,
2354,U.S. Marine Corps,references,
2393,U.S. Marine Corps,references,
2407,U.S. Marine Corps,references,
2425,U.S. Marine Corps,references,
2434,Veterans of Foreign Wars,references,
2442,U.S. Marine Corps,references,
2453,Twitter,references,
2455,U.S. Marine Corps,references,
2456,Truth Social,references,
2470,U.S. Marine Corps,references,
2476,U.S. Marine Corps,references,
2482,U.S. Marine Corps,references,
2487,U.S. Marine Corps,references,
2506,U.S. Marine Corps,references,
2515,U.S. Marine Corps,references,
2523,U.S. Marine Corps,references,
2531,U.S. Marine Corps,references,
2543,U.S. Marine Corps,references,
