:START_ID(Tweet),:END_ID(Local News-ca),:TYPE,Specification
22,Texas,references,
25,Texas,references,
27,Texas,references,
31,Texas,references,
35,Texas,references,
36,Texas,references,
37,Texas,references,
40,Nevada,references,
129,Kentucky,references,
131,Kentucky,references,
157,Ohio,references,
334,Oregon,references,
335,Oregon,references,
336,Oregon,references,
337,Oregon,references,
338,Oregon,references,
339,Oregon,references,
340,Oregon,references,
341,Oregon,references,
342,Oregon,references,
343,Oregon,references,
344,Oregon,references,
345,Oregon,references,
346,Oregon,references,
347,Oregon,references,
348,Oregon,references,
349,Oregon,references,
350,Oregon,references,
351,Oregon,references,
352,Oregon,references,
353,Oregon,references,
354,Oregon,references,
355,Oregon,references,
356,Oregon,references,
357,Oregon,references,
358,Oregon,references,
359,Oregon,references,
360,Oregon,references,
361,Oregon,references,
362,Oregon,references,
363,Oregon,references,
364,Oregon,references,
365,Oregon,references,
366,Oregon,references,
367,Oregon,references,
368,Oregon,references,
369,Oregon,references,
370,Oregon,references,
371,Oregon,references,
372,Oregon,references,
373,Oregon,references,
374,Oregon,references,
375,Oregon,references,
376,Oregon,references,
377,Oregon,references,
378,Oregon,references,
395,Texas,references,
646,Florida,references,
662,Florida,references,
672,Texas,references,
673,Texas,references,
678,Texas,references,
682,Texas,references,
683,Texas,references,
693,Texas,references,
695,Texas,references,
696,Texas,references,
706,Texas,references,
707,Texas,references,
710,Texas,references,
770,Rhode Island,references,
771,Rhode Island,references,
772,Rhode Island,references,
773,Rhode Island,references,
774,Rhode Island,references,
775,Rhode Island,references,
776,Rhode Island,references,
777,Rhode Island,references,
778,Rhode Island,references,
779,Rhode Island,references,
780,Rhode Island,references,
781,Rhode Island,references,
782,Rhode Island,references,
783,Rhode Island,references,
784,Rhode Island,references,
785,Rhode Island,references,
786,Rhode Island,references,
787,Rhode Island,references,
943,Virginia,references,
944,Virginia,references,
945,Virginia,references,
948,Virginia,references,
951,Nashville,references,
998,Texas,references,
1074,Washington State,references,
1076,Washington State,references,
1079,Washington State,references,
1092,Washington State,references,
1154,Texas,references,
1162,Texas,references,
1169,Texas,references,
1385,Philadelphia,references,
1386,Philadelphia,references,
1387,Philadelphia,references,
1388,Philadelphia,references,
1389,Philadelphia,references,
1390,Philadelphia,references,
1391,Philadelphia,references,
1392,Philadelphia,references,
1393,Philadelphia,references,
1394,Philadelphia,references,
1395,Philadelphia,references,
1396,Philadelphia,references,
1397,Philadelphia,references,
1398,Philadelphia,references,
1399,Philadelphia,references,
1400,Philadelphia,references,
1401,Philadelphia,references,
1402,Philadelphia,references,
1403,Philadelphia,references,
1405,Philadelphia,references,
1407,Philadelphia,references,
1408,Philadelphia,references,
1409,Philadelphia,references,
1410,Philadelphia,references,
1411,Philadelphia,references,
1412,Philadelphia,references,
1413,Philadelphia,references,
1414,Philadelphia,references,
1415,Philadelphia,references,
1416,Philadelphia,references,
1417,Philadelphia,references,
1418,Philadelphia,references,
1419,Philadelphia,references,
1420,Philadelphia,references,
