:START_ID(Congresspeople-ID),:END_ID,:TYPE
Alma Adams,D,party affiliation
Robert Aderholt,R,party affiliation
Pete Aguilar,D,party affiliation
Rick Allen,R,party affiliation
Colin Allred,D,party affiliation
Mark Amodei,R,party affiliation
Kelly Armstrong,R,party affiliation
Jodey Arrington,R,party affiliation
Jake Auchincloss,D,party affiliation
Cynthia Axne,D,party affiliation
Brian Babin,R,party affiliation
Don Bacon,R,party affiliation
James Baird,R,party affiliation
Troy Balderson,R,party affiliation
Jim Banks,R,party affiliation
Andy Barr,R,party affiliation
Nanette Barragán,D,party affiliation
Karen Bass,D,party affiliation
Joyce Beatty,D,party affiliation
Cliff Bentz,R,party affiliation
Ami Bera,D,party affiliation
Jack Bergman,R,party affiliation
Donald Beyer,D,party affiliation
Stephanie Bice,R,party affiliation
Andy Biggs,R,party affiliation
Gus Bilirakis,R,party affiliation
Dan Bishop,R,party affiliation
Sanford Bishop,D,party affiliation
Earl Blumenauer,D,party affiliation
Lisa Blunt Rochester,D,party affiliation
Lauren Boebert,R,party affiliation
Suzanne Bonamici,D,party affiliation
Mike Bost,R,party affiliation
Carolyn Bourdeaux,D,party affiliation
Jamaal Bowman,D,party affiliation
Brendan Boyle,D,party affiliation
Kevin Brady,R,party affiliation
Mo Brooks,R,party affiliation
Anthony Brown,D,party affiliation
Shontel Brown,D,party affiliation
Julia Brownley,D,party affiliation
Vern Buchanan,R,party affiliation
Ken Buck,R,party affiliation
Larry Bucshon,R,party affiliation
Ted Budd,R,party affiliation
Tim Burchett,R,party affiliation
Michael Burgess,R,party affiliation
Cori Bush,D,party affiliation
Cheri Bustos,D,party affiliation
G. Butterfield,D,party affiliation
Ken Calvert,R,party affiliation
Kat Cammack,R,party affiliation
Salud Carbajal,D,party affiliation
Tony Cárdenas,D,party affiliation
Mike Carey,R,party affiliation
Jerry Carl,R,party affiliation
André Carson,D,party affiliation
Buddy Carter,R,party affiliation
John Carter,R,party affiliation
Troy Carter,D,party affiliation
Matt Cartwright,D,party affiliation
Ed Case,D,party affiliation
Sean Casten,D,party affiliation
Kathy Castor,D,party affiliation
Joaquin Castro,D,party affiliation
Madison Cawthorn,R,party affiliation
Steve Chabot,R,party affiliation
Liz Cheney,R,party affiliation
Sheila Cherfilus-McCormick,D,party affiliation
Judy Chu,D,party affiliation
David Cicilline,D,party affiliation
   ,D,party affiliation
Katherine Clark,D,party affiliation
Yvette Clarke,D,party affiliation
Emanuel Cleaver,D,party affiliation
Ben Cline,R,party affiliation
Michael Cloud,R,party affiliation
James Clyburn,D,party affiliation
Andrew Clyde,R,party affiliation
Steve Cohen,D,party affiliation
Tom Cole,R,party affiliation
James Comer,R,party affiliation
Connie Conway,R,party affiliation
Gerald Connolly,D,party affiliation
Jim Cooper,D,party affiliation
Lou Correa,D,party affiliation
Jim Costa,D,party affiliation
Joe Courtney,D,party affiliation
Angie Craig,D,party affiliation
Ric Crawford,R,party affiliation
Dan Crenshaw,R,party affiliation
Charlie Crist,D,party affiliation
Jason Crow,D,party affiliation
Henry Cuellar,D,party affiliation
John Curtis,R,party affiliation
Sharice Davids,D,party affiliation
Warren Davidson,R,party affiliation
Danny Davis,D,party affiliation
Rodney Davis,R,party affiliation
Madeleine Dean,D,party affiliation
Peter DeFazio,D,party affiliation
Diana DeGette,D,party affiliation
Rosa DeLauro,D,party affiliation
Suzan DelBene,D,party affiliation
Val Demings,D,party affiliation
Mark DeSaulnier,D,party affiliation
Scott DesJarlais,R,party affiliation
Theodore Deutch,D,party affiliation
Mario Diaz-Balart,R,party affiliation
Debbie Dingell,D,party affiliation
