:START_ID(Tweet),:END_ID(States-ca),:TYPE,Specification
4,North Carolina,references,North Carolina
5,North Carolina,references,North Carolina
15,Alabama,references,Alabama
19,Georgia,references,Georgia
21,Georgia,references,Georgia
25,Texas,references,Texas
36,Texas,references,Texas
40,Nevada,references,Nevada
47,Texas,references,Texas
50,Texas,references,Texas
52,Texas,references,Texas
55,Texas,references,Texas
70,Delaware,references,Delaware
110,Indiana,references,Indiana
111,Indiana,references,Indiana
131,Kentucky,references,Kentucky
157,Ohio,references,Ohio
164,Oregon,references,Oregon
246,Oklahoma,references,Oklahoma
299,Florida,references,Florida
301,Florida,references,Florida
313,Texas,references,Texas
314,North Carolina,references,North Carolina
323,Georgia,references,Georgia
323,Florida,references,Florida
325,Delaware,references,Delaware
328,Delaware,references,Delaware
329,Delaware,references,Delaware
330,Delaware,references,Delaware
357,Kentucky,references,Kentucky
357,Michigan,references,Michigan
357,Vermont,references,Vermont
357,California,references,California
363,Oregon,references,Oregon
364,Michigan,references,Michigan
364,Vermont,references,Vermont
364,California,references,California
370,Oregon,references,Oregon
375,Florida,references,Florida
380,Illinois,references,Illinois
384,Georgia,references,Georgia
385,Georgia,references,Georgia
415,Ohio,references,Ohio
425,Ohio,references,Ohio
455,Indiana,references,Indiana
455,Ohio,references,Ohio
455,Wisconsin,references,Wisconsin
481,Texas,references,Texas
492,Tennessee,references,Tennessee
503,Texas,references,Texas
505,Texas,references,Texas
529,Florida,references,Florida
535,Florida,references,Florida
536,Florida,references,Florida
550,California,references,California
583,Georgia,references,Georgia
586,Georgia,references,Georgia
593,Georgia,references,Georgia
598,Georgia,references,Georgia
599,Georgia,references,Georgia
615,Louisiana,references,Louisiana
618,Louisiana,references,Louisiana
626,Hawaii,references,Hawaii
642,Illinois,references,Illinois
643,Illinois,references,Illinois
673,Texas,references,Texas
681,California,references,California
685,Ohio,references,Ohio
694,Tennessee,references,Tennessee
695,Texas,references,Texas
696,Texas,references,Texas
702,Georgia,references,Georgia
706,Texas,references,Texas
707,Texas,references,Texas
710,Texas,references,Texas
713,North Carolina,references,North Carolina
719,Florida,references,Florida
736,Rhode Island,references,Rhode Island
737,Rhode Island,references,Rhode Island
741,Rhode Island,references,Rhode Island
765,Rhode Island,references,Rhode Island
767,Rhode Island,references,Rhode Island
772,Rhode Island,references,Rhode Island
774,Rhode Island,references,Rhode Island
781,Rhode Island,references,Rhode Island
787,Rhode Island,references,Rhode Island
799,Massachusetts,references,Massachusetts
821,Missouri,references,Missouri
831,Missouri,references,Missouri
833,Missouri,references,Missouri
844,Virginia,references,Virginia
857,South Carolina,references,South Carolina
893,Tennessee,references,Tennessee
904,Tennessee,references,Tennessee
905,Tennessee,references,Tennessee
943,Virginia,references,Virginia
972,Connecticut,references,Connecticut
977,Connecticut,references,Connecticut
981,Minnesota,references,Minnesota
998,Texas,references,Texas
1008,Kansas,references,Kansas
1011,Kansas,references,Kansas
1012,Kansas,references,Kansas
1013,Kansas,references,Kansas
1017,Kansas,references,Kansas
1032,Arizona,references,Arizona
1070,Connecticut,references,Connecticut
1071,Connecticut,references,Connecticut
1073,Connecticut,references,Connecticut
1109,California,references,California
1124,Florida,references,Florida
1126,Florida,references,Florida
1137,Nebraska,references,Nebraska
1146,Michigan,references,Michigan
1151,Michigan,references,Michigan
1162,Texas,references,Texas
1169,Texas,references,Texas
1178,Florida,references,Florida
1180,Florida,references,Florida
1181,Florida,references,Florida
1199,South Carolina,references,South Carolina
1223,Alaska,references,Alaska
1229,California,references,California
1230,Alaska,references,Alaska
1232,Alaska,references,Alaska
1253,Utah,references,Utah
1253,Wyoming,references,Wyoming
1253,Nevada,references,Nevada
1288,California,references,California
1382,Kansas,references,Kansas
1394,Pennsylvania,references,Pennsylvania
1401,Pennsylvania,references,Pennsylvania
1434,Pennsylvania,references,Pennsylvania
1442,Pennsylvania,references,Pennsylvania
1443,Pennsylvania,references,Pennsylvania
1471,Texas,references,Texas
1522,Tennessee,references,Tennessee
1572,Idaho,references,Idaho
1592,Wisconsin,references,Wisconsin
1616,California,references,California
1645,Pennsylvania,references,Pennsylvania
1676,Illinois,references,Illinois
1677,Illinois,references,Illinois
1683,Florida,references,Florida
1701,California,references,California
1705,California,references,California
1746,Texas,references,Texas
1750,Texas,references,Texas
1750,California,references,California
1754,Texas,references,Texas
1766,Arizona,references,Arizona
1766,Texas,references,Texas
1766,Florida,references,Florida
1789,New Jersey,references,New Jersey
1792,New Jersey,references,New Jersey
1827,Tennessee,references,Tennessee
1828,Tennessee,references,Tennessee
1829,Tennessee,references,Tennessee
1860,Georgia,references,Georgia
1860,Florida,references,Florida
1863,Georgia,references,Georgia
1863,Florida,references,Florida
1881,Georgia,references,Georgia
1884,Arizona,references,Arizona
1887,Arizona,references,Arizona
1887,New Jersey,references,New Jersey
1892,Ohio,references,Ohio
